"key","message","comment","context"
"${label} move lines","${label} خطوط النقل",,
"%","%",,
"% to match any character (one or more)","% لمطابقة أي حرف (واحد أو أكثر)",,
"%d account treated successfully,","تمت معالجة حساب %d بنجاح،",,
"%d accounting move(s) successfully generated.","تم إنشاء %d حركة (حركات) محاسبية بنجاح.",,
"%d accounts treated successfully,","تمت معالجة %d من الحسابات بنجاح،",,
"%d anomalies.","%d حالة شاذة.",,
"%d anomaly.","%d حالة شاذة.",,
"%d email(s) sent.","تم إرسال %d بريدًا إلكترونيًا (رسائل).",,
"%d invoice treated successfully,","تمت معالجة %d فاتورة بنجاح،",,
"%d invoices treated successfully,","تمت معالجة %d فاتورة بنجاح،",,
"%d moves couldn't be deleted or archived, please check the logs.","تعذر حذف أو أرشفة %d من التحركات، يرجى التحقق من السجلات.",,
"%d reimbursement created successfully,","تم إنشاء عملية السداد %d بنجاح،",,
"%d reimbursements created successfully,","تم إنشاء %d من عمليات السداد بنجاح،",,
"%s - Invoice date can't be in the future.","%s - لا يمكن أن يكون تاريخ الفاتورة في المستقبل.",,
"%s : A customer account is missing for the company %s","%s : حساب العميل مفقود للشركة %s",,
"%s : A header record is missing in the file %s","%s : سجل الرأس مفقود في الملف %s",,
"%s : A record is missing in the file %s","%s : هناك سجل مفقود في الملف %s",,
"%s : A supplier account is missing for the company %s","%s : حساب المورد مفقود للشركة %s",,
"%s : Anomaly detected (the record doesn't have %s characters : %s) for the record %s, company %s","%s : تم اكتشاف حالة شاذة (السجل لا يحتوي على %s أحرف : %s) للسجل %s، الشركة %s",,
"%s : Anomaly detected (value isn't numeric : %s) for sender","%s : تم اكتشاف حالة شاذة (القيمة ليست رقمية: %s) للمرسل",,
"%s : Anomaly detected (value isn't numeric : %s) for the receiver","%s : تم اكتشاف حالة شاذة (القيمة ليست رقمية: %s) للمتلقي",,
"%s : Anomaly detected (value isn't numeric : %s) for the total","%s : تم اكتشاف حالة شاذة (القيمة ليست رقمية: %s) للإجمالي",,
"%s : Bank statement line %s amount can't be null","%s : لا يمكن أن يكون مبلغ سطر كشف الحساب البنكي %s فارغًا",,
"%s : Caution, payment entry nb %s, total line's amount imputed is higher than customer's amount paid.","%s : تنبيه، إدخال الدفع ملحوظة %s، إجمالي مبلغ السطر المحتسب أعلى من المبلغ المدفوع للعميل.",,
"%s : Computed balance and Ending Balance must be equal","%s : يجب أن يكون الرصيد المحسوب والرصيد النهائي متساويين",,
"%s : Currency missing","%s : العملة مفقودة",,
"%s : Error : You must configure a bank details for the company %s and a payment mode %s","%s : خطأ: يجب عليك تكوين التفاصيل البنكية للشركة %s ووضع الدفع %s",,
"%s : Error : You must configure a company for the batch configurator %s","%s : خطأ: يجب عليك تكوين شركة لمكوّن الدُفعة %s",,
"%s : Error : You must configure a credit note interface sequence for the company %s","%s : خطأ: يجب تكوين تسلسل واجهة إشعار الدائن للشركة %s",,
"%s : Error : You must configure a custom account reporting sequence for the company %s","%s : خطأ: يجب تكوين تسلسل تقارير حساب مخصص للشركة %s",,
"%s : Error : You must configure a direct debit date for the %s batch configuration","%s : خطأ: يجب عليك تكوين تاريخ الخصم المباشر لتكوين دفعة %s",,
"%s : Error : You must configure a due date for the batch configurator %s","%s : خطأ: يجب عليك تكوين تاريخ استحقاق لمكوّن الدُفعة %s",,
"%s : Error : You must configure a journal for the company %s and a payment mode %s","%s : خطأ: يجب عليك تكوين دفتر يومية للشركة %s ووضع الدفع %s",,
"%s : Error : You must configure a purchase interface sequence for the company %s","%s : خطأ: يجب تكوين تسلسل واجهة الشراء للشركة %s",,
"%s : Error : You must configure a reconciliation sequence for the company %s","%s : خطأ: يجب تكوين تسلسل تسوية للشركة %s",,
"%s : Error : You must configure a reported balance journal in the account configuration for the batch configurator %s","%s : خطأ: يجب عليك تكوين دفتر يومية للأرصدة المبلغ عنها في تكوين الحساب لمكوّن الدُفعة %s",,
"%s : Error : You must configure a result loss account and a year opening account in the account configuration","%s : خطأ: يجب عليك تكوين حساب الخسارة الناتج وحساب فتح السنة في تكوين الحساب",,
"%s : Error : You must configure a result profit account and a year opening account in the account configuration","%s : خطأ: يجب تكوين حساب الربح الناتج وحساب فتح السنة في تكوين الحساب",,
"%s : Error : You must configure a sale interface sequence for the company %s","%s : خطأ: يجب تكوين تسلسل واجهة البيع للشركة %s",,
"%s : Error : You must configure a sequence for the company %s and a payment mode %s","%s : خطأ: يجب تكوين تسلسل للشركة %s ووضع الدفع %s",,
"%s : Error : You must configure a treasury interface sequence for the company %s","%s : خطأ: يجب تكوين تسلسل واجهة الخزانة للشركة %s",,
"%s : Error : You must configure a weight table in general configuration","%s : خطأ: يجب عليك تكوين جدول الوزن في التكوين العام",,
"%s : Error : You must configure a year for the batch configurator %s","%s : خطأ: يجب تكوين سنة لمكوّن الدُفعة %s",,
"%s : Error : You must configure accounts for the batch configurator %s","%s : خطأ: يجب عليك تكوين حسابات لمكون الدُفعة %s",,
"%s : Error : You must configure an account export sequence for the company %s","%s : خطأ: يجب تكوين تسلسل تصدير الحساب للشركة %s",,
"%s : Error : You must configure an account reporting sequence for the company %s","%s : خطأ: يجب تكوين تسلسل تقارير الحساب للشركة %s",,
"%s : Error : You must configure an analytic report sequence for the company %s","%s : خطأ : يجب تكوين تسلسل تقرير تحليلي للشركة %s",,
"%s : Error : You must configure an export type for the batch configurator %s","%s : خطأ: يجب تكوين نوع تصدير لمكوّن الدُفعة %s",,
"%s : Error : You must, at first, create timetable lines for the timetable %s","%s : خطأ: يجب عليك في البداية إنشاء بنود جدول زمني للجدول الزمني %s",,
"%s : Error detected during CFONB file's writing : %s","%s : تم اكتشاف خطأ أثناء كتابة ملف CFONB: %s",,
"%s : Error generated on invoice creation shift to irrecoverable %s","%s : تحول الخطأ الناتج عند إنشاء الفاتورة إلى %s غير قابل للاسترداد",,
"%s : Invoice's type is not filled %s","%s : نوع الفاتورة غير مملوء %s",,
"%s : Invoicing address missing","%s : عنوان إرسال الفواتير مفقود",,
"%s : Letter template missing for debt recovery matrix %s (Partner %s, Level %s).","%s : قالب الرسالة مفقود لمصفوفة استرداد الديون %s (الشريك %s، المستوى %s).",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : مبلغ MoveLine لا يساوي سطر كشف الحساب البنكي %s",,
"%s : No debt recovery method has been found for the company %s and the category %s %s (Partner %s)","%s : لم يتم العثور على طريقة لاسترداد الديون للشركة %s والفئة %s %s (الشريك %s)",,
"%s : No payment mode found for the code %s and the company %s","%s : لم يتم العثور على طريقة دفع للرمز %s والشركة %s",,
"%s : No timetable nor invoice found for the direct debit number : %s","%s : لم يتم العثور على جدول زمني أو فاتورة لرقم الخصم المباشر : %s",,
"%s : One or several detail records are missing in the file %s","%s : هناك سجل تفصيلي واحد أو عدة سجلات مفقودة في الملف %s",,
"%s : Payment condition missing","%s: شرط الدفع مفقود",,
"%s : Payment mode missing","%s: وضع الدفع مفقود",,
"%s : Payment mode must be filled either in the partner or in the company configuration.","%s : يجب ملء وضع الدفع إما في تكوين الشريك أو في الشركة.",,
"%s : Payment voucher nÂ° %s, the paid amount should be positive","%s : قسيمة الدفع رقم %s، يجب أن يكون المبلغ المدفوع موجبًا",,
"%s : Please define an email template for cash register (company: %s)","%s : الرجاء تحديد قالب البريد الإلكتروني لتسجيل النقد (الشركة: %s)",,
"%s : Please, configure a currency for the company %s","%s : من فضلك، قم بتكوين عملة للشركة %s",,
"%s : Please, configure a sequence for the customer credit notes and the company %s","%s : من فضلك، قم بتكوين تسلسل لإشعارات ائتمان العميل والشركة %s",,
"%s : Please, configure a sequence for the customer invoices and the company %s","%s : من فضلك، قم بتكوين تسلسل لفواتير العميل والشركة %s",,
"%s : Please, configure a sequence for the fixed assets and the company %s","%s : من فضلك، قم بتكوين تسلسل للأصول الثابتة والشركة %s",,
"%s : Please, configure a sequence for the note bills and the company %s","%s : من فضلك، قم بتكوين تسلسل لفواتير الأوراق المالية والشركة %s",,
"%s : Please, configure a sequence for the supplier credit notes and the company %s","%s : من فضلك، قم بتكوين تسلسل لإشعارات ائتمان المورد والشركة %s",,
"%s : Please, configure a sequence for the supplier invoices and the company %s","%s : من فضلك قم بتكوين تسلسل لفواتير المورد والشركة %s",,
"%s : Please, fill bank details in batch %s","%s : من فضلك، املأ تفاصيل البنك دفعة واحدة %s",,
"%s : Please, fill payment mode in batch %s","%s : من فضلك، املأ وضع الدفع دفعة واحدة %s",,
"%s : Reconciliation %s: Reconciliated amount (%s) must be lower or equal to remaining amount to reconciliate from moves lines.","%s : التسوية %s: يجب أن يكون المبلغ الذي تمت تسويته (%s) أقل أو يساوي المبلغ المتبقي للتسوية من خطوط النقل.",,
"%s : Reconciliation %s: Reconciliated amount must be different than zero. (Debit %s account %s - Credit %s account %s)","%s : التسوية %s: يجب أن يكون المبلغ الذي تمت تسويته مختلفًا عن الصفر. (الحساب المدين %s %s - الحساب %s الدائن %s)",,
"%s : Reconciliation : Move line accounts are not compatible.","%s : التسوية : حسابات خط النقل غير متوافقة.",,
"%s : Reconciliation : You must fill concerned moves lines.","%s : المصالحة : يجب عليك ملء خطوط التحركات المعنية.",,
"%s : The invoice %s has no accounting document whose the remainder to be paid is positive","%s : لا تحتوي الفاتورة %s على مستند محاسبي ويكون الباقي الواجب دفعه موجبًا",,
"%s : The paid amount is superior to the imputed amount(s)","%s : المبلغ المدفوع أعلى من المبلغ (المبالغ) المحتسب",,
"%s : The total amount for the following record isn't correct (file %s) :\n %s","%s : المبلغ الإجمالي للسجل التالي غير صحيح (الملف %s) :\n %s",,
"%s : There's no line to pay.","%s : لا يوجد خط للدفع.",,
"%s : There's no partner selected","%s : لم يتم تحديد شريك",,
"%s : You must add a journal and a treasury account into payment mode.","%s : يجب عليك إضافة دفتر يومية وحساب خزينة إلى وضع الدفع.",,
"%s : You must add an amount paid.","%s : يجب عليك إضافة مبلغ مدفوع.",,
"%s : You must configure CFONB for the company %s","%s : يجب عليك تكوين CFONB للشركة %s",,
"%s : You must configure a Bank Address for the RIB %s of third-payer %s","%s : يجب عليك تكوين عنوان البنك لـ RIB %s للدافع الثالث %s",,
"%s : You must configure a Bank Code for the RIB %s of third-payer %s","%s : يجب عليك تكوين رمز البنك لـ RIB %s للدافع الثالث %s",,
"%s : You must configure a CFONB TIP and cheque TIP code for the company %s","%s : يجب عليك تكوين CFONB TIP والتحقق من رمز TIP الخاص بالشركة %s",,
"%s : You must configure a CFONB TIP code for the company %s","%s : يجب عليك تكوين رمز CFONB TIP للشركة %s",,
"%s : You must configure a CFONB code register end for the company %s","%s : يجب عليك تكوين نهاية تسجيل رمز CFONB للشركة %s",,
"%s : You must configure a CFONB detail code register for the company %s","%s : يجب عليك تكوين تسجيل رمز تفاصيل CFONB للشركة %s",,
"%s : You must configure a CFONB direct debit code for the company %s","%s : يجب عليك تكوين رمز الخصم المباشر CFONB للشركة %s",,
"%s : You must configure a CFONB format direct debit's export's folder for the company %s","%s : يجب عليك تكوين مجلد التصدير الخاص بالخصم المباشر بتنسيق CFONB للشركة %s",,
"%s : You must configure a CFONB format reimbursement's export's folder for the company %s","%s : يجب عليك تكوين مجلد تصدير تسديد تنسيق CFONB للشركة %s",,
"%s : You must configure a CFONB header code register for the company %s","%s : يجب عليك تكوين تسجيل رمز رأس CFONB للشركة %s",,
"%s : You must configure a CFONB internet payment code for the company %s","%s : يجب عليك تكوين رمز الدفع عبر الإنترنت CFONB للشركة %s",,
"%s : You must configure a CFONB receiver code register for the company %s","%s : يجب عليك تكوين تسجيل رمز جهاز الاستقبال CFONB للشركة %s",,
"%s : You must configure a CFONB rejected direct debit code for the company %s","%s : يجب عليك تكوين رمز الخصم المباشر المرفوض CFONB للشركة %s",,
"%s : You must configure a CFONB sender code register for the company %s","%s : يجب عليك تكوين تسجيل رمز مرسل CFONB للشركة %s",,
"%s : You must configure a CFONB sender's name/corporate name for the company %s","%s : يجب عليك تكوين اسم مرسل CFONB/اسم الشركة للشركة %s",,
"%s : You must configure a CFONB sender's number for the company %s","%s : يجب عليك تكوين رقم مرسل CFONB للشركة %s",,
"%s : You must configure a CFONB total code register for the company %s","%s : يجب عليك تكوين سجل كود CFONB الإجمالي للشركة %s",,
"%s : You must configure a CFONB unpaid TIP code for the company %s","%s : يجب عليك تكوين رمز CFONB TIP غير المدفوع للشركة %s",,
"%s : You must configure a CFONB unpaid direct debit code fir the company %s","%s : يجب عليك تكوين رمز الخصم المباشر غير المدفوع CFONB للشركة %s",,
"%s : You must configure a Cash journal type for the company %s","%s : يجب عليك تكوين نوع دفتر يومية نقدي للشركة %s",,
"%s : You must configure a Credit note journal type for the company %s","%s : يجب عليك تكوين نوع دفتر يومية إشعار الدائن للشركة %s",,
"%s : You must configure a Customer credit note journal for the company %s","%s : يجب عليك تكوين دفتر يومية لإشعارات ائتمان العميل للشركة %s",,
"%s : You must configure a Misc. Operation journal for the company %s","%s : يجب عليك تكوين Misc. دفتر يومية العمليات للشركة %s",,
"%s : You must configure a Purchase journal type for the company %s","%s : يجب عليك تكوين نوع دفتر يومية الشراء للشركة %s",,
"%s : You must configure a RIB for batch's configurator %s","%s : يجب عليك تكوين RIB لمكون الدُفعة %s",,
"%s : You must configure a RIB for payment timetable %s","%s : يجب عليك تكوين RIB للجدول الزمني للدفع %s",,
"%s : You must configure a RIB for the partner %s","%s : يجب عليك تكوين RIB للشريك %s",,
"%s : You must configure a Reimbursement journal for the company %s","%s : يجب عليك تكوين دفتر يومية السداد للشركة %s",,
"%s : You must configure a Sales journal for the company %s","%s : يجب عليك تكوين دفتر يومية مبيعات للشركة %s",,
"%s : You must configure a Sales journal type for the company %s","%s : يجب عليك تكوين نوع دفتر يومية المبيعات للشركة %s",,
"%s : You must configure a Sort Code for the RIB %s of third-payer %s","%s : يجب عليك تكوين رمز الفرز لـ RIB %s الخاص بالدافع الثالث %s",,
"%s : You must configure a Supplier credit note journal for the company %s","%s : يجب عليك تكوين دفتر يومية لإشعارات ائتمان المورد للشركة %s",,
