"key","message","comment","context"
"%d bank statement couldn't be deleted, please check the logs.","تعذر حذف كشف حساب بنكي بنسبة %d، يرجى التحقق من السجلات.",,
"%d errors occurred. Please check tracebacks for details.","حدث %d خطأ. يرجى التحقق من التتبع للحصول على التفاصيل.",,
"%d line successfully rejected","تم رفض %d سطر بنجاح",,
"%d lines successfully rejected","تم رفض %d من الأسطر بنجاح",,
"%s : Bank statement line %s amount can't be null","%s : لا يمكن أن يكون مبلغ سطر كشف الحساب البنكي %s فارغًا",,
"%s : Computed balance and Ending Balance must be equal","%s : يجب أن يكون الرصيد المحسوب والرصيد النهائي متساويين",,
"%s : MoveLine amount is not equals with bank statement line %s","%s : مبلغ MoveLine لا يساوي سطر كشف الحساب البنكي %s",,
"%s : Please configure an ICS number for the company %s.","%s : الرجاء تكوين رقم ICS للشركة %s.",,
"%s : Please, configure a default signer for the company %s","%s : من فضلك، قم بتكوين الموقّع الافتراضي للشركة %s",,
"%s : Please, configure a sequence for the Bill of exchange and the company %s","%s : من فضلك، قم بتكوين تسلسل للكمبيالة والشركة %s",,
"%s : Please, configure a sequence for the International Credit Transfers and the company %s","%s : من فضلك قم بتكوين تسلسل لتحويلات الأرصدة الدولية والشركة %s",,
"%s : Please, configure a sequence for the International Direct Debits and the company %s","%s : من فضلك قم بتكوين تسلسل للديون الدولية المباشرة والشركة %s",,
"%s : Please, configure a sequence for the International Treasury Transfers and the company %s","%s : من فضلك قم بتكوين تسلسل لتحويلات الخزينة الدولية والشركة %s",,
"%s : Please, configure a sequence for the National Treasury Transfers and the company %s","%s : من فضلك، قم بتكوين تسلسل لتحويلات الخزينة الوطنية والشركة %s",,
"%s : Please, configure a sequence for the Other Bank Orders and the company %s","%s : من فضلك، قم بتكوين تسلسل للطلبات البنكية الأخرى والشركة %s",,
"%s : Please, configure a sequence for the SEPA Credit Transfers and the company %s","%s : من فضلك، قم بتكوين تسلسل لتحويلات رصيد SEPA والشركة %s",,
"%s : Please, configure a sequence for the SEPA Direct Debits and the company %s","%s : من فضلك، قم بتكوين تسلسل لديون SEPA المباشرة والشركة %s",,
"%s : Please, configure an account for the bank order for the external bank to bank transfer for the company %s","%s : يرجى تكوين حساب للطلب البنكي من البنك الخارجي إلى التحويل البنكي للشركة %s",,
"%s : Please, configure an account for the bank order for the internal bank to bank transfer for the company %s","%s : يرجى تكوين حساب للطلب البنكي من البنك الداخلي إلى التحويل البنكي للشركة %s",,
"%s : You must configure bank payment's information for the company %s","%s : يجب عليك تكوين معلومات الدفع البنكي للشركة %s",,
"10 - Bank details IBAN","10- تفاصيل البنك IBAN",,
"10 - Sender bank details type","10 - نوع تفاصيل بنك المرسل",,
"10 - Sequence","10- التسلسل",,
"11 - Bank details code","11- رمز تفاصيل البنك",,
"11 - Sender bank details IBAN","11- تفاصيل البنك المرسل IBAN",,
"12 - Bank order currency","12- عملة أمر البنك",,
"13 - Total","13- المجموع",,
"14 - Sender bank details type","14- نوع تفاصيل بنك المرسل",,
"15 - Sender bank details IBAN","15- تفاصيل البنك المرسل IBAN",,
"16 - Bank order currency","16- عملة أمر البنك",,
"16 - Economic reason code","16- رمز السبب الاقتصادي",,
"17-3 - File format qualifying date","17-3-تاريخ تأهيل تنسيق الملف",,
"18 - Order debit type index","18- فهرس نوع الأمر المدين",,
"18 - Payment mode select","18- اختر طريقة الدفع",,
"19 - Fees imputation mode","19- طريقة احتساب الرسوم",,
"19 - Order index type","19- نوع فهرس الطلب",,
"20 - Bank order date","20- تاريخ أمر البنك",,
"21 - Currency","21- العملة",,
"24-1 - Qualifying of date","24-1 - تاريخ التأهل",,
"24-2 - Date","24-2 - التاريخ",,
"25 - Currency","25- العملة",,
"4 - Bank details type","4- نوع تفاصيل البنك",,
"4 - Bank name","4- اسم البنك",,
"4 - Generation date","4- تاريخ النشأة",,
"4-1 - Payment Reason 1","4-1 - سبب الدفع 1",,
"4-2 - Payment Reason 2","4-2 - سبب الدفع 2",,
"4-3 - Payment Reason 3","4-3 - سبب الدفع 3",,
"4-4 - Payment Reason 4","4-4 - سبب الدفع 4",,
"5 - Bank address","5- عنوان البنك",,
"5 - Bank details IBAN","5- تفاصيل البنك IBAN",,
"5 - Sender company","5- شركة المرسل",,
"6 - Bank code","6- رمز البنك",,
"6 - Bank details owner name","6- تفاصيل البنك اسم المالك",,
"6 - Registration code","6- رمز التسجيل",,
"6 - Sender address","6- عنوان المرسل",,
"7 - Country code","7- رمز البلد",,
"7 - Registration code","7- رمز التسجيل",,
"7 - Sequence","7 - التسلسل",,
"8 - Sequence","8 - التسلسل",,
"9 - Bank details type","9- نوع تفاصيل البنك",,
"9 - Country code","9- رمز البلد",,
"9-1 - Special instructions 1","9-1 - تعليمات خاصة 1",,
"9-2 - Special instructions 2","9-2 - تعليمات خاصة 2",,
"9-3 - Special instructions 3","9-3 - تعليمات خاصة 3",,
"A - Register code","أ - رمز التسجيل",,
"A bank order %s already exist for the invoice %s.","يوجد أمر بنكي %s بالفعل للفاتورة %s.",,
"Acceptance code per recipient line","رمز القبول لكل سطر مستلم",,
"Accepted Bank Details Identifiers","معرفات تفاصيل البنك المقبولة",,
"Accepted LCR","مقبولة LCR",,
"Account balance","رصيد الحساب",,
"Account management is missing.","إدارة الحساب مفقودة.",,
"Account management list","قائمة إدارة الحساب",,
"Accounting","محاسبة",,
"Accounting Dashboard","لوحة المحاسبة",,
"Accounting Dashboard with invoice terms","لوحة المحاسبة مع شروط الفاتورة",,
"Accounting Move Line(s) to reconcile","خط (خطوط) نقل المحاسبة للتسوية",,
"Accounting auto","محاسبة السيارات",,
"Accounting details","تفاصيل المحاسبة",,
"Accounting information","المعلومات المحاسبية",,
"Accounting move trigger select","تحديد مشغل نقل المحاسبة",,
"Accounting settings","إعدادات المحاسبة",,
"Accounting.Account","المحاسبة.الحساب",,
"Action","فعل",,
"Active","نشيط",,
"Additional information","معلومات إضافية",,
"Allow orders with a transfer currency different from bank details currency","السماح للطلبات بعملة تحويل مختلفة عن عملة التفاصيل المصرفية",,
"Already accounted","تم حسابها بالفعل",,
"Already reconciled","التوفيق بالفعل",,
"Amount Rejected","المبلغ المرفوض",,
"Amount in transfer's currency","المبلغ بعملة التحويل",,
"Amount of the semi-interval of confidence for the amounts","مقدار فترة شبه الثقة للمبالغ",,
"Amount remaining to reconcile","المبلغ المتبقي للتسوية",,
"Amount value of a bank order line is not valid","قيمة المبلغ لسطر أمر البنك غير صالحة",,
"Amount value of the bank order is not valid","قيمة المبلغ للطلب البنكي غير صالحة",,
"Anomaly has been detected during file generation for bank order %s","تم الكشف عن حالة غير طبيعية أثناء إنشاء الملف للطلب البنكي %s",,
"Anomaly has been detected during file generation for the additional detail record of the bank order line %s","تم اكتشاف حالة شاذة أثناء إنشاء الملف لسجل التفاصيل الإضافي الخاص بسطر الأمر البنكي %s",,
"Anomaly has been detected during file generation for the beneficiary bank detail record of the bank order line %s","تم اكتشاف حالة شاذة أثناء إنشاء الملف لسجل تفاصيل البنك المستفيد لسطر الأمر البنكي %s",,
"Anomaly has been detected during file generation for the detail record of the bank order line %s","تم اكتشاف خطأ أثناء إنشاء الملف للسجل التفصيلي لسطر الأمر البنكي %s",,
"Anomaly has been detected during file generation for the endorsed detail record of the bank order line %s","تم اكتشاف حالة شاذة أثناء إنشاء الملف لسجل التفاصيل المعتمد لسطر الأمر البنكي %s",,
"Anomaly has been detected during file generation for the further information detail record of the bank order line %s","تم اكتشاف حالة شاذة أثناء إنشاء الملف للحصول على سجل تفصيلي للمعلومات الإضافية لسطر الأمر البنكي %s",,
"Anomaly has been detected during file generation for the sender record of the bank order %s","تم اكتشاف خطأ أثناء إنشاء الملف لسجل مرسل الأمر البنكي %s",,
"Anomaly has been detected during file generation for the total record of the bank order %s","تم اكتشاف خطأ أثناء إنشاء الملف للسجل الإجمالي للأمر البنكي %s",,
"App","برنامج",,
"App bank payment","الدفع عن طريق البنك التطبيق",,
"Are you sure you want merge the selected bank orders ?","هل أنت متأكد أنك تريد دمج الأوامر البنكية المحددة؟",,
"Arithmetic total","المجموع الحسابي",,
"As the date of your order is in the past, it will be updated to today.","بما أن تاريخ طلبك كان في الماضي، فسيتم تحديثه إلى اليوم.",,
"Assignment or pledge outside Dailly agreement","التنازل أو التعهد خارج الاتفاقية اليومية",,
"Associated MoveLine","خط الحركة المرتبط",,
"Auto accounting","المحاسبة التلقائية",,
"Auto reconcile","التوفيق التلقائي",,
"Automatic","تلقائي",,
"Automatic accounting ?","المحاسبة التلقائية؟",,
"Automatic pointing","الإشارة التلقائية",,
"Available","متاح",,
"Awaiting signature","في انتظار التوقيع",,
"B1 - Operation code","B1 - رمز التشغيل",,
"B2 - Numbering record","B2 - سجل الترقيم",,
"B3 - Sender number","B3 - رقم المرسل",,
"BOR","هنالك",,
"Balance","توازن",,
"Balance btn","الرصيد بالطن",,
"Balance updated date","تاريخ تحديث الرصيد",,
"Bank Account","الحساب البنكي",,
"Bank Balance","رصيد البنك",,
"Bank Order","أمر البنك",,
"Bank Order Details","تفاصيل الطلب البنكي",,
"Bank Order Lines","خطوط أوامر البنك",,
"Bank Order Status","حالة الطلب البنكي",,
"Bank Order date can't be in the past","لا يمكن أن يكون تاريخ الطلب البنكي في الماضي",,
"Bank Order line","خط أوامر البنك",,
"Bank Order lines","خطوط أوامر البنك",,
"Bank Orders","أوامر البنك",,
"Bank Orders economic reason","أوامر البنك لسبب اقتصادي",,
"Bank Orders economic reasons","أوامر البنك لأسباب اقتصادية",,
"Bank Orders file format","تنسيق ملف أوامر البنك",,
"Bank Orders file formats","تنسيقات ملفات أوامر البنك",,
"Bank Reconciliation","تسوية البنك",,
"Bank Reconciliation Lines","خطوط تسوية البنك",,
"Bank Reconciliations","التسويات البنكية",,
"Bank Statement","كشف حساب البنك",,
"Bank Statement / Reconciliations","كشف حساب البنك / التسويات",,
"Bank Statement detail","تفاصيل كشف الحساب البنكي",,
"Bank Statement line","خط كشف الحساب البنكي",,
"Bank Statement line print wizard","معالج طباعة سطر كشف الحساب البنكي",,
"Bank Statement lines","خطوط كشف الحساب البنكي",,
"Bank Statements","كشوفات البنك",,
"Bank Statements file format","تنسيق ملف كشف الحساب البنكي",,
"Bank Statements file formats","تنسيقات ملفات البيانات البنكية",,
"Bank accounting / reconciliation rule","المحاسبة المصرفية / قاعدة التسوية",,
"Bank details","تفاصيل البنك",,
"Bank details are inactive.","تفاصيل البنك غير نشطة.",,
"Bank details in account management is missing.","التفاصيل المصرفية في إدارة الحساب مفقودة.",,
"Bank details is missing on invoice %s.","التفاصيل المصرفية مفقودة في الفاتورة %s.",,
"Bank details not validated","لم يتم التحقق من صحة تفاصيل البنك",,
"Bank details tree","شجرة تفاصيل البنك",,
"Bank order","أمر البنك",,
"Bank order Date","تاريخ أمر البنك",,
"Bank order amount","مبلغ أمر البنك",,
"Bank order config.","تكوين أمر البنك",,
"Bank order confirmation","تأكيد أمر البنك",,
"Bank order currency","عملة أمر البنك",,
"Bank order due Date","تاريخ استحقاق أمر البنك",,
"Bank order export folder does not exist: %s","مجلد تصدير الطلب البنكي غير موجود: %s",,
"Bank order export folder path","مسار مجلد تصدير أمر البنك",,
"Bank order file format","تنسيق ملف أمر البنك",,
"Bank order file formats","تنسيقات ملفات أوامر البنك",,
"Bank order generation","توليد أوامر البنك",,
"Bank order line","خط أمر البنك",,
"Bank order realization","تنفيذ أمر البنك",,
"Bank orders","أوامر البنك",,
"Bank orders can only be deleted at draft or canceled status.","لا يمكن حذف الطلبات المصرفية إلا في حالة المسودة أو الإلغاء.",,
"Bank payment batch","دفعة الدفع البنكي",,
"Bank payment config (${ name })","تكوين الدفع البنكي (${ name })",,
"Bank payment configuration","تكوين الدفع البنكي",,
"Bank payment configurations","تكوينات الدفع البنكي",,
"Bank reconcile amount must be inferior or equal to credit or debit.","يجب أن يكون مبلغ التسوية البنكية أقل أو مساويا للدائن أو المدين.",,
"Bank reconciled amount","المبلغ المطابق للبنك",,
"Bank reconciliation","التسوية البنكية",,
"Bank reconciliation Line","خط التسوية البنكية",,
"Bank reconciliation Lines","خطوط التسوية البنكية",,
"Bank reconciliation filters","مرشحات تسوية البنك",,
"Bank reconciliation statement","بيان تسوية البنك",,
"Bank reconciliation statement template","نموذج بيان التسوية البنكية",,
"Bank reconciliations","التسويات البنكية",,
"Bank statement","كشف حساب البنك",,
"Bank statement already imported. Aborted.","تم استيراد كشف الحساب البنكي بالفعل. تم إحباطه.",,
"Bank statement details","تفاصيل كشف الحساب البنكي",,
"Bank statement line AFK120 filters","مرشحات سطر كشف الحساب البنكي AFK120",,
"Bank statement line print wizard","معالج طباعة سطر كشف الحساب البنكي",,
"Bank statement lines","خطوط كشف الحساب البنكي",,
"Bank statement lines template","قالب خطوط كشف حساب البنك",,
"Bank statement queries","الاستعلام عن كشف الحساب البنكي",,
"Bank statement query","الاستعلام عن كشف حساب البنك",,
"Bank statement rule","قاعدة كشف الحساب البنكي",,
"Bank statement rules","قواعد كشف الحساب البنكي",,
"Bank statement(s) has been removed successfully","تمت إزالة كشف الحساب (الحسابات) البنكية بنجاح",,
"Bank statements file formats","تنسيقات ملفات البيانات البنكية",,
"Bank to Bank Transfers","التحويلات من بنك إلى بنك",,
"Bank to bank account for external order (multiple company)","من حساب بنكي إلى بنك للطلب الخارجي (شركة متعددة)",,
"Bank to bank account for internal order (unique company)","حساب من بنك إلى بنك للطلب الداخلي (شركة فريدة)",,
"BankDetails/Payment Mode/Interbank code configuration","تفاصيل البنك/وضع الدفع/تكوين رمز Interbank",,
"BankOrder.partnerTypeSelect","BankOrder.partnerTypeSelect",,
"BankReconciliation.account","BankReconciliation.account",,
"BankReconciliation.amount","BankReconciliation.amount",,
"BankReconciliation.cash_account","تسوية البنك.حساب نقدي",,
"BankReconciliation.code","BankReconciliation.code",,
"BankReconciliation.company","BankReconciliation.company",,
"BankReconciliation.credit","BankReconciliation.credit",,
"BankReconciliation.currency","تسوية البنك. العملة",,
"BankReconciliation.debit","BankReconciliation.debit",,
"BankReconciliation.journal","BankReconciliation.journal",,
"BankReconciliation.moves_unaccounted","تسوية البنك. التحركات في عداد المفقودين",,
"BankReconciliation.name","BankReconciliation.name",,
"BankReconciliation.ongoing","تسوية البنك.مستمرة",,
"BankReconciliation.page1Title","تسوية البنك.عنوان الصفحة",,
"BankReconciliation.page2Title","تسوية البنك.عنوان الصفحة",,
"BankReconciliation.reference","تسوية البنك.المرجع",,
"BankReconciliation.report_date","تسوية البنك.تاريخ التقرير",,
"BankReconciliation.report_edition_date","تسوية البنك.تاريخ إصدار التقرير",,
"BankReconciliation.to_date","BankReconciliation.to_date",,
"BankReconciliation.type","BankReconciliation.type",,
"BankReconciliation.unreconciled_move_lines","تسوية البنك.خطوط النقل غير المتوافقة",,
"BankReconciliationStatement.SummaryTitle","بيان تسوية البنك.SummaryTitle",,
"BankReconciliationStatement.account","بيان تسوية البنك",,
"BankReconciliationStatement.accountBalance","BankReconciliationStatement.accountBalance",,
"BankReconciliationStatement.accountBankGap","بيان تسوية البنك.حساب الفجوة البنكية",,
"BankReconciliationStatement.accountCode","بيان تسوية البنك.رمز الحساب",,
"BankReconciliationStatement.actualBalance","بيان تسوية البنك. الرصيد الفعلي",,
"BankReconciliationStatement.amountRemaining","BankReconciliationStatement.amountRemaining",,
"BankReconciliationStatement.amountToReconcile","BankReconciliationStatement.amountToReconcile",,
"BankReconciliationStatement.bankBalance","بيان تسوية البنك.رصيد البنك",,
"BankReconciliationStatement.bankDetails","بيان تسوية البنك. تفاصيل البنك",,
"BankReconciliationStatement.code","بيان تسوية البنك",,
"BankReconciliationStatement.company","BankReconciliationStatement.company",,
"BankReconciliationStatement.credit","BankReconciliationStatement.credit",,
"BankReconciliationStatement.currency","بيان تسوية البنك",,
"BankReconciliationStatement.date","BankReconciliationStatement.date",,
"BankReconciliationStatement.debit","بيان تسوية البنك.debit",,
"BankReconciliationStatement.description","بيان تسوية البنك.الوصف",,
"BankReconciliationStatement.journal","بيان تسوية البنك",,
"BankReconciliationStatement.journalCode","BankReconciliationStatement.journalCode",,
"BankReconciliationStatement.line","بيان تسوية البنك",,
"BankReconciliationStatement.mainTitle","بيان تسوية البنك.mainTitle",,
"BankReconciliationStatement.name","BankReconciliationStatement.name",,
"BankReconciliationStatement.noLineFoundMessage","بيان تسوية البنك. لم يتم العثور على سطر للرسالة",,
"BankReconciliationStatement.page1Title","بيان تسوية البنك.page1العنوان",,
"BankReconciliationStatement.page2Title","بيان تسوية البنك.page2Title",,
"BankReconciliationStatement.reconciliationGap","BankReconciliationStatement.reconciliationGap",,
"BankReconciliationStatement.reference","بيان تسوية البنك.المرجع",,
"BankReconciliationStatement.unreconileAccountBalance","بيان تسوية البنك. رصيد حساب unreco nile",,
"BankReconciliationStatementNew.accountingBalanceOn","بيان تسوية البنك الرصيد المحاسبي الجديد",,
"BankReconciliationStatementNew.accountingExtract","بيان تسوية البنك الجديد.مستخرج محاسبي",,
"BankReconciliationStatementNew.balanceAfterReconcilation","بيان تسوية البنك الرصيد الجديد بعد التسوية",,
"BankReconciliationStatementNew.balanceExtractOn","بيان تسوية البنك جديد. استخراج الرصيد",,
"BankReconciliationStatementNew.bank","BankReconciliationStatementNew.bank",,
"BankReconciliationStatementNew.bankStatementExtract","BankReconciliationStatementNew.bankStatementExtract",,
"BankReconciliationStatementNew.comment","بيان تسوية البنك New.comment",,
"BankReconciliationStatementNew.correctedDateTimeLabel","بيان تسوية البنك جديد. تسمية التاريخ والوقت غير صحيحة",,
"BankReconciliationStatementNew.correctedUserLabel","بيان تسوية البنك جديد. تسمية المستخدم المصححة",,
"BankReconciliationStatementNew.from","بيان تسوية البنك New.from",,
"BankReconciliationStatementNew.iban","بيان تسوية البنك New.iban",,
"BankReconciliationStatementNew.label","بيان تسوية البنك New.label",,
"BankReconciliationStatementNew.mainTitle","بيان تسوية البنك New.mainTitle",,
"BankReconciliationStatementNew.moveDate","بيان تسوية البنك New.movie Date",,
"BankReconciliationStatementNew.nonPostedMoveStatement","بيان تسوية البنكNew.nonPostedMoveStatement",,
"BankReconciliationStatementNew.operationDate","بيان تسوية البنك تاريخ التشغيل الجديد",,
"BankReconciliationStatementNew.originDate","بيان تسوية البنك تاريخ الأصل الجديد",,
"BankReconciliationStatementNew.postedNbr","بيان تسوية البنك New.posted note",,
"BankReconciliationStatementNew.to","BankReconciliationStatementNew.to",,
"BankReconciliationStatementNew.toBeConfirmed","بيان تسوية البنك New.toBeConfirmed",,
"BankReconciliationStatementNew.totalGeneralBalance","بيان تسوية البنك جديد.إجمالي الرصيد العام",,
"BankReconciliationStatementNew.valueDate","بيان تسوية البنكNew.valueDate",,
"BankStatement.Import","كشف حساب البنك.استيراد",,
"BankStatement.accountCurrency","كشف الحساب البنكي.عملة الحساب",,
"BankStatement.bankAccount","كشف حساب بنكي.حساب بنكي",,
"BankStatement.creationDateFrom","كشف حساب البنك.تاريخ الإنشاء من",,
"BankStatement.creationDateTo","كشف حساب البنك.تاريخ الإنشاء",,
"BankStatement.credit","BankStatement.credit",,
"BankStatement.debit","كشف حساب البنك.الخصم",,
"BankStatement.exempt","كشف حساب البنك.معفى",,
"BankStatement.finalBalance","كشف حساب البنك. الرصيد النهائي",,
"BankStatement.headerText","BankStatement.headerText",,
"BankStatement.iban","كشف حساب البنك",,
"BankStatement.initialBalance","كشف حساب البنك. الرصيد الأولي",,
"BankStatement.label","BankStatement.label",,
"BankStatement.movement","BankStatement.movement",,
"BankStatement.operationDate","كشف حساب البنك.تاريخ العملية",,
"BankStatement.origin","BankStatement.origin",,
"BankStatement.reference","كشف حساب البنك.المرجع",,
"BankStatement.title","كشف حساب البنك.العنوان",,
