"key","message","comment","context"
"#,###.00","#,###.00",,
"${fullName} variants","متغيرات ${fullName}.",,
"%D : Day","%د : يوم",,
"%FM : Full Month (01, 02, 03, ...)","%FM : شهر كامل (01، 02، 03، ...)",,
"%M : Month (1, 2, 3, ...)","%M : الشهر (1، 2، 3، ...)",,
"%WY : Week number","%WY: رقم الأسبوع",,
"%YY : Year (17)","%YY : السنة (17)",,
"%YYYY : Full Year (2017)","%YYYY: عام كامل (2017)",,
"%d anomalies.","%d حالة شاذة.",,
"%d anomaly.","%d حالة شاذة.",,
"%d record processed successfully,","تمت معالجة سجل %d بنجاح،",,
"%d records processed successfully,","تمت معالجة %d من السجلات بنجاح،",,
"%s : Path to Birt template is incorrect","%s : قالب المسار إلى Birt غير صحيح",,
"%s : Please, configure a currency for the company %s","%s : من فضلك، قم بتكوين عملة للشركة %s",,
"%s SIRET Number required. Please configure SIRET Number for partner %s","مطلوب رقم SIRET %s. الرجاء تكوين رقم SIRET للشريك %s",,
"%s address processed","تمت معالجة عنوان %s",,
"%s addresses processed","تمت معالجة %s من العناوين",,
"%s cell is not valid.","الخلية %s غير صالحة.",,
"%s configuration file is not exist.","ملف التكوين %s غير موجود.",,
"%s file not found in %s.","لم يتم العثور على الملف %s في %s.",,
"%s files imported","تم استيراد %s من الملفات",,
"%s module does not exist.","الوحدة النمطية %s غير موجودة.",,
"%s row must not be empty.","يجب ألا يكون الصف %s فارغًا.",,
"%s translation(s) successfully added.","تمت إضافة %s ترجمة (ترجمات) بنجاح.",,
"%s user processed","تمت معالجة مستخدم %s",,
"%s users processed","تمت معالجة %s من المستخدمين",,
"%s was not found in the standard application.","لم يتم العثور على %s في التطبيق القياسي.",,
"'%s' field for '%s' is invalid.","الحقل '%s' الخاص بـ '%s' غير صالح.",,
"'OneToMany' and 'ManyToMany' fields doesn't allowed","الحقول ""OneToMany"" و""ManyToMany"" غير مسموح بها",,
"'OneToMany' field doesn't allowed","حقل ""OneToMany"" غير مسموح به",,
"(AUX)","(ل)",,
"(L')","(ل ')",,
"(LA)","(ال)",,
"(LE)","(ال)",,
"(LES)","(ال)",,
"(LOS)","(ال)",,
"* %s anomaly(ies)","* %s حالة (حالات) شاذة",,
"- Not null :","- ليست فارغة:",,
"- Succeeded :","- نجح :",,
". Using those keys will result in a Invalid private key error",". سيؤدي استخدام هذه المفاتيح إلى حدوث خطأ في المفتاح الخاص غير صالح",,
"00","00",,
"01","01",,
"02","02",,
"03","03",,
"04","04",,
"05","05",,
"06","06",,
"07","07",,
"08","08",,
"09","09",,
"1","1",,
"1 Month","1 شهر",,
"1 Year","1 سنة",,
"10","10",,
"11","11",,
"12","12",,
"13","13",,
"14","14",,
"15","15",,
"16","16",,
"17","17",,
"18","18",,
"19","19",,
"1st Period From","الفترة الأولى من",,
"2","2",,
"2 Months","شهرين",,
"20","20",,
"21","21",,
"22","22",,
"23","23",,
"24","24",,
"25","25",,
"26","26",,
"27","27",,
"28","28",,
"2nd Period From","الفترة الثانية من",,
"3","3",,
"3 Months","3 أشهر",,
"4","4",,
"5","5",,
"6","6",,
"6 Months","6 أشهر",,
"7","7",,
"8","8",,
"9","9",,
"<","<",,
"<><Badge bg=""warning"">Alias are mandatory inside the jpql queries</Badge></>","<><Badge bg=""warning"">الاسم المستعار إلزامي داخل استعلامات jpql</Badge></>",,
"<><Badge bg=""warning"">Invalid IBAN</Badge></>","<><Badge bg=""warning"">رقم IBAN غير صالح</Badge></>",,
"<><Badge bg=""warning"">Please add an invoice address and a delivery address by default.</Badge></>","<><Badge bg=""warning"">يُرجى إضافة عنوان الفاتورة وعنوان التسليم بشكل افتراضي.</Badge></>",,
"<><Badge bg=""warning"">There is already a contact with this name.</Badge></>","<><Badge bg=""warning"">توجد بالفعل جهة اتصال بهذا الاسم.</Badge></>",,
"<><Badge bg=""warning"">There is already a partner with this name.</Badge></>","<><Badge bg=""warning"">يوجد بالفعل شريك بهذا الاسم.</Badge></>",,
"<B>%s</B> not found","<B>%s</B> غير موجود",,
"<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />","<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />","<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,
"<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />","<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />",,
"<br/>Example:<br/>Start unit : m3<br/>End unit : kg<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>","<br/>مثال:<br/>وحدة البداية: m3<br/>وحدة النهاية: كجم<br/><strong>$Product.netMass$ / $Product.articleVolume$</strong><br/>",,
"<br>Mapping for the query :<br>First Name -> :firstName <br>Last Name -> :lastName <br>Email -> :email <br>Phone -> :phone <br>","<br>تعيين الاستعلام:<br>الاسم الأول -> :الاسم الأول <br>اسم العائلة -> :اسم العائلة <br>البريد الإلكتروني -> :البريد الإلكتروني <br>الهاتف -> :الهاتف <br>",,
"=","=",,
">",">",,
"A product of type service can't be procured from stock.","لا يمكن شراء منتج من نوع الخدمة من المخزون.",,
"A user with this login already exists.","يوجد بالفعل مستخدم لديه تسجيل الدخول هذا.",,
"A wizard already exists for this sharing referential.","يوجد بالفعل معالج لمرجع المشاركة هذا.",,
"A.T.I. by default","ايه تي آي. بشكل افتراضي",,
"ABC Analysis","تحليل ABC",,
"ABC Analysis N°","تحليل ABC رقم",,
"ABC Analysis line","خط تحليل ABC",,
"ABC Analysis lines","خطوط تحليل ABC",,
"ABC Classes","دروس ABC",,
"ABC class","فئة ABC",,
"ABC classes","دروس ABC",,
"ARTMIN","يزيد",,
"AZTEC","أزتيك",,
"AbcAnalysis.analysisResult","AbcAnalogy.analysResult",,
"AbcAnalysis.company","AbcAnalysis.company",,
"AbcAnalysis.createdBy","AbcAnalogy.createdBy",,
"AbcAnalysis.description","تحليل ABC.description",,
"AbcAnalysisLine.category","AbcAnalogyLine.category",,
"AbcAnalysisLine.class","AbcAnalogyLine.class",,
"AbcAnalysisLine.code","AbcAnalogyLine.code",,
"AbcAnalysisLine.cumulatedQty","AbcAnalysLine.cumulatedQty",,
"AbcAnalysisLine.cumulatedWorth","AbcAnalogyLine.cumulatedWorth",,
"AbcAnalysisLine.name","AbcAnalysisLine.name",,
"AbcAnalysisLine.qty","AbcAnalysLine.qty",,
"AbcAnalysisLine.worth","AbcAnalogyLine.worth",,
"Access to model fields","الوصول إلى الحقول النموذجية",,
"Account Number","رقم الحساب",,
"Account config","تكوين الحساب",,
"Account management","إدارة الحساب",,
"Account management filters","مرشحات إدارة الحساب",,
"Account management list","قائمة إدارة الحساب",,
"Account managements","إدارة الحسابات",,
"Account moves","تحركات الحساب",,
"Accounting","محاسبة",,
"Accounting Exports","الصادرات المحاسبية",,
"Accounting family","عائلة المحاسبة",,
"Accounting situations","المواقف المحاسبية",,
"Accounts Configurations","تكوينات الحسابات",,
"Accounts configuration","تكوين الحسابات",,
"Action","فعل",,
"Action does not exists or invalid for the object(%s)","الإجراء غير موجود أو غير صالح للكائن(%s)",,
"Action name cannot be null.","لا يمكن أن يكون اسم الإجراء خاليًا.",,
"Actions","الإجراءات",,
"Activate bar code generation for products","تفعيل إنشاء الرمز الشريطي للمنتجات",,
"Activate partner delegations","تفعيل وفود الشركاء",,
"Activate sending email","تفعيل إرسال البريد الإلكتروني",,
"Activate the company change shortcut","تفعيل اختصار تغيير الشركة",,
"Activate the instance information shortcut","قم بتنشيط اختصار معلومات المثيل",,
"Activation","التنشيط",,
"Active","نشيط",,
"Active Team","فريق نشط",,
"Active company","شركة نشطة",,
"Active company changed to %s","تم تغيير الشركة النشطة إلى %s",,
"Active users","المستخدمين النشطين",,
"Add Guests","إضافة ضيوف",,
"Add a period","أضف فترة",,
"Address","عنوان",,
"Address Field is missing : %s","حقل العنوان مفقود: %s",,
"Address Template","قالب العنوان",,
"Address Template Line","سطر قالب العنوان",,
"Address Template Lines","خطوط قالب العنوان",,
"Address certified by QAS engine","عنوان معتمد من قبل محرك QAS",,
"Address created","تم إنشاء العنوان",,
"Address details","تفاصيل العنوان",,
"Address filters","مرشحات العنوان",,
"Address found","تم العثور على العنوان",,
"Address line 2 template","قالب سطر العنوان 2",,
"Address line 3 template","قالب سطر العنوان 3",,
"Address line 4 template","قالب سطر العنوان 4",,
"Address line 5 template","قالب سطر العنوان 5",,
"Address line 6 template","قالب سطر العنوان 6",,
"Address list","قائمة العناوين",,
"Address position","موقف العنوان",,
"Address precisions","دقة العنوان",,
"Address template","قالب العنوان",,
"Address template lines","خطوط قالب العنوان",,
"Address templates","قوالب العناوين",,
"Address type","نوع العنوان",,
"Addresses","العناوين",,
"Addresses validation","التحقق من العناوين",,
"Adjust History","ضبط التاريخ",,
"Adjust period","ضبط الفترة",,
"Adjusting","ضبط",,
"Administration","إدارة",,
"Advance Fields Export","تصدير الحقول المتقدمة",,
"Advance import","الاستيراد المسبق",,
"Advanced Export","التصدير المتقدم",,
"Advanced export","التصدير المتقدم",,
"Advanced export line","خط تصدير متقدم",,
"Advanced export lines","خطوط تصدير متقدمة",,
"Advanced exports","الصادرات المتقدمة",,
"Advanced import","استيراد متقدم",,
"Advanced import is not validated","لم يتم التحقق من صحة الاستيراد المتقدم",,
"Advanced imports","الواردات المتقدمة",,
"Advanced print templates","قوالب الطباعة المتقدمة",,
"Advanced synchronization","المزامنة المتقدمة",,
"Agency","وكالة",,
"All","الجميع",,
"All Actions","جميع الإجراءات",,
"All Clients","جميع العملاء",,
"All Countries","جميع البلدان",,
"All Employees","جميع الموظفين",,
"All Enterprises","جميع المؤسسات",,
"All Individuals","جميع الأفراد",,
"All Mailing lists","جميع القوائم البريدية",,
"All MetaField seem to be existing.","يبدو أن جميع MetaField موجودة.",,
"All MetaModel seem to be existing.","يبدو أن جميع MetaModel موجودة.",,
"All Prospects","جميع الآفاق",,
"All Suppliers","جميع الموردين",,
"All Views","جميع المشاهدات",,
"All clients","جميع العملاء",,
"All day","طوال اليوم",,
"All events","جميع الأحداث",,
"All my calendars","كل تقويماتي",,
"All permissions","جميع الأذونات",,
"All permissions' objects seem to be good.","يبدو أن جميع كائنات الأذونات جيدة.",,
"All prospects","كل التوقعات",,
"All prospects and clients","جميع التوقعات والعملاء",,
"All suppliers","جميع الموردين",,
"All tasks","جميع المهام",,
"All teams","جميع الفرق",,
"All users","كافة المستخدمين",,
"Allow notifications to be sent by email","السماح بإرسال الإشعارات عبر البريد الإلكتروني",,
"Allow to force purchases quantities","السماح بفرض كميات الشراء",,
"Allow to force sales quantities","السماح بفرض كميات المبيعات",,
"Alpha-2 code (ISO)","كود ألفا-2 (ISO)",,
"Alpha-3 code (ISO)","كود ألفا-3 (ISO)",,
"Always A.T.I.","دائما A.T.I.",,
"Always W.T.","دائما دبليو تي.",,
"America/New_York","أمريكا/نيويورك",,
"Amount/%","كمية/٪",,
"An error occured while executing '%s'.","حدث خطأ أثناء تنفيذ '%s'.",,
"An error occurred while generating the address template: '%s'","حدث خطأ أثناء إنشاء قالب العنوان: '%s'",,
"An error occurred while generating the address template: '%s' - '%s'","حدث خطأ أثناء إنشاء قالب العنوان: '%s' - '%s'",,
"An error occurred while generating the sequence. Please check the configuration.","حدث خطأ أثناء إنشاء التسلسل. يرجى التحقق من التكوين.",,
"An error occurred, please check your configuration.","حدث خطأ، يرجى التحقق من التكوين الخاص بك.",,
"Analysis is already on going.","التحليل جار بالفعل.",,
"Analytics","التحليلات",,
"Analyzing","تحليل",,
"Anomalies","الشذوذ",,
"Anomaly","شذوذ",,
"App","برنامج",,
"App base","قاعدة التطبيق",,
"Applicable dates","التواريخ المطبقة",,
"Application Config","تكوين التطبيق",,
"Application begin date","تاريخ بدء التطبيق",,
"Application end date","تاريخ انتهاء التطبيق",,
"Application start Date","تاريخ بدء التطبيق",,
"Application type","نوع التطبيق",,
"Apply","يتقدم",,
"Apply modifications to next tasks","تطبيق التعديلات على المهام التالية",,
"Apply on","تنطبق على",,
"Apply pricings","تطبيق التسعيرات",,
"Apps management","إدارة التطبيقات",,
"April","أبريل",,
"Archived","مؤرشف",,
"Are you sure to replace ?","هل أنت متأكد من الاستبدال؟",,
"Are you sure you want to run the analysis ? It can take a long time.","هل أنت متأكد أنك تريد إجراء التحليل؟ يمكن أن يستغرق وقتا طويلا.",,
"Are you sure you want to start the import?","هل أنت متأكد أنك تريد بدء الاستيراد؟",,
"Area name","اسم المنطقة",,
"Article dimension","البعد المادة",,
"Article volume","حجم المادة",,
"Artmin","أرتمين",,
"Ascending","تصاعدي",,
"Assigned to","المخصصة ل",,
"Assigned to user","المخصصة للمستخدم",,
"At least one iban code you have entered for this partner is not valid. Here is the list of invalid codes : %s","رمز Iban واحد على الأقل قمت بإدخاله لهذا الشريك غير صالح. إليك قائمة بالرموز غير الصالحة: %s",,
"Attach","نعلق",,
"Attach to model","نعلق على النموذج",,
"Attached files","الملفات المرفقة",,
"Attached partners","الشركاء المرفقين",,
"Attachment directory OR Application source does not exist","دليل المرفقات أو مصدر التطبيق غير موجود",,
"Attachments","المرفقات",,
"Attachments must be in zip format","يجب أن تكون المرفقات بصيغة zip",,
"Attempted to get a field from product '%s' but forgot to specify which field.","تمت محاولة الحصول على حقل من المنتج '%s' لكن نسيت تحديد الحقل.",,
"Attempted to get field '%s' for unspecified product.","تمت محاولة الحصول على الحقل '%s' لمنتج غير محدد.",,
"Attendees","الحضور",,
"Attributes","صفات",,
"Attrs","أترز",,
"August","أغسطس",,
"Authentication failed.","فشلت المصادقة.",,
"Authorization","إذن",,
"Authorization details","تفاصيل التفويض",,
"Auto","آلي",,
"Auto import","استيراد سيارة",,
"Availability","التوفر",,
"Available","متاح",,
"Available stock","المخزون المتاح",,
"Average Price","متوسط ​​السعر",,
"BBAN","بيبان",,
"BBan Key","ما هي الشاحنة؟",,
"BIC","بيك",,
"BIC (Bank Identifier)","BIC (معرف البنك)",,
"BIRT printings","مطبوعات بيرت",,
"BIRT template file","ملف قالب BIRT",,
"BIRT templates","قوالب بيرت",,
"Back","خلف",,
"Backup","النسخ الاحتياطي",,
"Backup Created","تم إنشاء النسخة الاحتياطية",,
