"key","message","comment","context"
"$budgetExceedAlert","$budgetExceedAlert",,
"<><Badge bg=""warning"">You need to save the budget before manage budget lines on periods</Badge></>","<><Badge bg=""warning"">تحتاج إلى حفظ الميزانية قبل إدارة بنود الميزانية على الفترات</Badge></>",,
"<span class='label label-warning'>To activate this option, you need to disable budget key first in account configurations of companies.</span>","<span class='label label-warning'>لتنشيط هذا الخيار، يتعين عليك تعطيل مفتاح الميزانية أولاً في تكوينات حساب الشركات.</span>",,
"<span class='label label-warning'>To activate this option, you need to disable project management first in budget configuration.</span>","<span class='label label-warning'>لتنشيط هذا الخيار، يتعين عليك تعطيل إدارة المشروع أولاً في تكوين الميزانية.</span>",,
"A budget distribution has already been generated. By launching this action, the budget distribution table will be cleared and re-computed. Do you want to proceed ?","لقد تم بالفعل إنشاء توزيع الميزانية. ومن خلال إطلاق هذا الإجراء، سيتم مسح جدول توزيع الميزانية وإعادة حسابه. هل تريد المتابعة؟",,
"Account","حساب",,
"Account configuration","تكوين الحساب",,
"Account model","نموذج الحساب",,
"Account models","نماذج الحسابات",,
"Account move","تحرك الحساب",,
"Account(s)","الحساب (الحسابات)",,
"Accounting.Account","المحاسبة.الحساب",,
"AccountingReportType25.balance","AccountingReportType25.balance",,
"AccountingReportType25.company","AccountingReportType25.company",,
"AccountingReportType25.currency","AccountingReportType25.currency",,
"AccountingReportType25.date","AccountingReportType25.date",,
"AccountingReportType25.expectedAmt","AccountingReportType25.expectedAmt",,
"AccountingReportType25.expenditure","AccountingReportType25.expenditure",,
"AccountingReportType25.from","AccountingReportType25.from",,
"AccountingReportType25.gap","AccountingReportType25.gap",,
"AccountingReportType25.realizedAmt","AccountingReportType25.realizedAmt",,
"AccountingReportType25.revenue","AccountingReportType25.revenue",,
"AccountingReportType25.revenueOrExpenditure","نوع التقرير المحاسبي 25.الإيرادات أو النفقات",,
"AccountingReportType25.title","AccountingReportType25.title",,
"AccountingReportType25.to","AccountingReportType25.to",,
"AccountingReportType25.totalExpenditure","نوع التقرير المحاسبي 25.النفقات الإجمالية",,
"AccountingReportType25.totalRevenue","AccountingReportType25.totalRevenue",,
"AccountingReportType25.year","AccountingReportType25.year",,
"Active","نشيط",,
"Active Version","النسخة النشطة",,
"Active version expected amounts line","النسخة النشطة سطر المبالغ المتوقعة",,
"Advance export budget","ميزانية التصدير المسبقة",,
"Advance export budget level","مستوى ميزانية التصدير المسبق",,
"Advance export budget line","خط ميزانية التصدير المسبق",,
"Advance export global budget","تقدم الميزانية العالمية للتصدير",,
"All","الجميع",,
"Amount","كمية",,
"Amount for each line","المبلغ لكل سطر",,
"Analytic Axis By Company","المحور التحليلي حسب الشركة",,
"Analytic Axis By company","المحور التحليلي حسب الشركة",,
"Analytic account","حساب تحليلي",,
"Analytic axis","المحور التحليلي",,
"App","برنامج",,
"App budget","ميزانية التطبيق",,
"Apply to all","تنطبق على الجميع",,
"Archived","مؤرشف",,
"Assigned amount","المبلغ المخصص",,
"Auto","آلي",,
"Automatic budget computation","حساب الميزانية التلقائية",,
"Available Amount","المبلغ المتاح",,
"Available amount","المبلغ المتاح",,
"Available amount with simulated","المبلغ المتاح مع محاكاة",,
"Available amount with simulated moves","المبلغ المتاح مع التحركات المحاكاة",,
"Budget","ميزانية",,
"Budget Distribution","توزيع الميزانية",,
"Budget Generator","مولد الميزانية",,
"Budget Level","مستوى الميزانية",,
"Budget Levels","مستويات الميزانية",,
"Budget Line","خط الميزانية",,
"Budget Lines","خطوط الميزانية",,
