"key","message","comment","context"
"1","1",,
"10","10",,
"11","11",,
"12","12",,
"13","13",,
"14","14",,
"15","15",,
"16","16",,
"17","17",,
"18","18",,
"19","19",,
"2","2",,
"20","20",,
"21","21",,
"22","22",,
"23","23",,
"24","24",,
"25","25",,
"26","26",,
"27","27",,
"28","28",,
"3","3",,
"4","4",,
"5","5",,
"6","6",,
"7","7",,
"8","8",,
"9","9",,
"<h4>Forecasts in out total</h4>","<h4>إجمالي التوقعات</h4>",,
"Actualize","تحقيق",,
"Amount","كمية",,
"Balance","توازن",,
"Balance by bank details","الرصيد حسب تفاصيل البنك",,
"Bank","بنك",,
"Bank details","تفاصيل البنك",,
"Best","أفضل",,
"Both","كلاهما",,
"Calculation Date","تاريخ الحساب",,
"Cash Management Dashboard","لوحة إدارة النقد",,
"Cash balance over time","الرصيد النقدي مع مرور الوقت",,
"Cash management","إدارة النقد",,
"Comments","تعليقات",,
"Company","شركة",,
"Configuration","إعدادات",,
"Currency","عملة",,
"Current balance","الرصيد الحالي",,
"Custom","مخصص",,
"Date","تاريخ",,
"Details","تفاصيل",,
"Display","عرض",,
"Element","عنصر",,
"Employee","موظف",,
"End Of Month","نهاية الشهر",,
"Ending Balance","الرصيد الختامي",,
"Estimated date","التاريخ المقدر",,
"Estimated duration after order creation (in days)","المدة المقدرة بعد إنشاء الطلب (بالأيام)",,
"Expense","حساب",,
"Forecast","تنبؤ بالمناخ",,
"Forecast Assistant","مساعد التنبؤ",,
"Forecast Assistant filters","مرشحات مساعد التنبؤ",,
"Forecast Assistants","مساعدو التنبؤ",,
"Forecast Dashboard","لوحة التنبؤات",,
"Forecast Recap","خلاصة التوقعات",,
"Forecast Recap Line Type","نوع خط التلخيص المتوقع",,
"Forecast Recap line Types","أنواع خطوط التلخيص المتوقعة",,
"Forecast Recaps","ملخصات التوقعات",,
"Forecast Report","تقرير التوقعات",,
"Forecast Reports","تقارير التوقعات",,
"Forecast Type","نوع التنبؤ",,
"Forecast Types","أنواع التوقعات",,
"Forecast filters","مرشحات التوقعات",,
"Forecast generator","مولد التوقعات",,
"Forecast recap","خلاصة التوقعات",,
"Forecast recap filters","توقعات خلاصة المرشحات",,
"Forecast recap line type updated.","تم تحديث نوع سطر ملخص التوقعات.",,
"ForecastLine.amount","ForecastLine.amount",,
"ForecastLine.balance","ForecastLine.balance",,
"ForecastLine.estimatedDate","ForecastLine.estimatedDate",,
"ForecastLine.relatedToName","ForecastLine.relatedToName",,
"ForecastLine.type","ForecastLine.type",,
