"key","message","comment","context"
"%d contract(s) treated and %d anomaly(ies) reported !","تمت معالجة %d من العقود والإبلاغ عن %d من الحالات الشاذة!",,
"<><Badge bg=""warning"">{_t('This pricing is already used by another contract line. Use the + button to create a new copy.')}</Badge></>","<><Badge bg=""warning"">{_t('هذا السعر مستخدم بالفعل من خلال بند عقد آخر. استخدم الزر + لإنشاء نسخة جديدة.')</Badge></>",,
"A billing contract is used to generate invoices, whereas a framework contract is used to generate orders. Invoices from framework contracts are generated either from orders, stock move or business project.","يتم استخدام عقد الفواتير لإنشاء الفواتير، في حين يتم استخدام العقد الإطاري لإنشاء الطلبات. يتم إنشاء الفواتير من العقود الإطارية إما من الطلبات أو نقل المخزون أو مشروع الأعمال.",,
"Account management","إدارة الحساب",,
"Action","فعل",,
"Action %s has no Batch implementation.","لا يحتوي الإجراء %s على تنفيذ دفعةي.",,
"Actions","الإجراءات",,
"Activate contract","تفعيل العقد",,
"Activated By","تم التنشيط بواسطة",,
"Activation date","تاريخ التفعيل",,
"Active","نشيط",,
"Additional Benefit Management","إدارة المزايا الإضافية",,
"Additional benefit","فائدة إضافية",,
"Additional benefit lines","خطوط فائدة إضافية",,
"Additional benefit management","إدارة الفوائد الإضافية",,
"Additional products","منتجات إضافية",,
"Advanced","متقدم",,
"Amendment","تعديل",,
"Amendment management","إدارة التعديل",,
"Amendment status","حالة التعديل",,
"Amendments","التعديلات",,
"Analytic Move Line","خط النقل التحليلي",,
"Analytic distribution template","قالب التوزيع التحليلي",,
"Analytic move line","خط التحرك التحليلي",,
"Analytic move lines","خطوط التحرك التحليلية",,
"Analytics","التحليلات",,
"App","برنامج",,
"App contract","عقد التطبيق",,
"Are you sure you want to remove the selected lines?","هل أنت متأكد أنك تريد إزالة الأسطر المحددة؟",,
"Attention the contract will have as starting date the provisional activation         date ${currentContractVersion.supposedActivationDate}, Are you sure?","انتبه، سيكون تاريخ بدء العقد هو تاريخ التنشيط المؤقت ${currentContractVersion.supposeActivationDate}، هل أنت متأكد؟",,
"Auto enable version on renew","تمكين الإصدار تلقائيًا عند التجديد",,
"Automatic invoicing","الفواتير التلقائية",,
"Available variables :\n         ind1i = value for the contract's index1 for date 1 \n ind2i = value for the contract's index 2 for date         2 \n ind1f : value for the contract's index 1 for the next revaluation date \n ind2f :         value for the contract's index 2 for the next revaluation date \n ind1py :         value for the contract's index 1 for the next revaluation - 1 year \n ind2py :         value for the contract's index 2 for the next revaluation - 1 year \n P0 : original price of the contract line         \n Pf : last revaluated price of the contract line","المتغيرات المتاحة :\n ind1i = قيمة فهرس العقد 1 للتاريخ 1 \n ind2i = قيمة فهرس العقد 2 للتاريخ 2 \n ind1f : قيمة فهرس العقد 1 لتاريخ إعادة التقييم التالي \n ind2f : قيمة فهرس العقد 1 مؤشر العقد 2 لتاريخ إعادة التقييم التالي \n ind1py : قيمة مؤشر العقد 1 لإعادة التقييم التالية - 1 year \n ind2py : قيمة مؤشر العقد 2 لإعادة التقييم التالية - سنة واحدة \n P0 : السعر الأصلي لبند العقد \n Pf : آخر سعر أعيد تقييمه لبند العقد",,
"Back","خلف",,
"Batches","دفعات",,
"Batchs","دفعات",,
"Billing","الفواتير",,
"Billing contract","عقد الفواتير",,
"Can only activate waiting contract.","يمكن تفعيل عقد الانتظار فقط.",,
"Can only put on hold drafted contract.","يمكن فقط تأجيل صياغة العقد.",,
"Can only terminate ongoing contract.","يمكن فقط إنهاء العقد المستمر.",,
"Cancel","يلغي",,
"Close contract","إغلاق العقد",,
"Closed","مغلق",,
"Code","شفرة",,
"Comment to be included on invoice","التعليق ليتم تضمينه في الفاتورة",,
"Commercial condition","حالة تجارية",,
"Company","شركة",,
"Company currency","عملة الشركة",,
"Config.","التكوين.",,
"Configurable contract","عقد قابل للتكوين",,
"Configuration","إعدادات",,
"Consumption Line","خط الاستهلاك",,
"Consumption Lines","خطوط الاستهلاك",,
"Consumption for next invoice","الاستهلاك للفاتورة القادمة",,
"Consumption line quantities exceed the max quantity defined in the contract line.","تتجاوز كميات بنود الاستهلاك الحد الأقصى للكمية المحددة في بند العقد.",,
"Consumption management","إدارة الاستهلاك",,
"Consumption max quantity","الاستهلاك الأقصى للكمية",,
"Consumptions","الاستهلاكات",,
"Content","محتوى",,
"Contract","عقد",,
"Contract Dates","مواعيد العقد",,
"Contract Line","خط العقد",,
"Contract Lines","خطوط العقد",,
"Contract N°","رقم العقد",,
"Contract batch","دفعة العقد",,
"Contract batch filters","مرشحات دفعة العقد",,
"Contract batches","دفعات العقد",,
"Contract can't be empty for compute contract line price.","لا يمكن أن يكون العقد فارغًا لحساب سعر بند العقد.",,
"Contract closing invoice","فاتورة إغلاق العقد",,
"Contract filters","مرشحات العقد",,
"Contract has already been generated for this opportunity.","لقد تم بالفعل إنشاء العقد لهذه الفرصة.",,
"Contract information","معلومات العقد",,
"Contract invoice","فاتورة العقد",,
"Contract line","خط العقد",,
"Contract template","قالب العقد",,
"Contract template filters","مرشحات قالب العقد",,
"Contract template to use","نموذج العقد للاستخدام",,
"Contract templates","نماذج العقود",,
"Contract type","نوع العقد",,
"Contract version","نسخة العقد",,
"Contracts","العقود",,
"Copy","ينسخ",,
"Cpte Ana. AXIS1","أنقذ آنا. القيمة 1",,
"Cpte Ana. AXIS2","كبت آنا. المحور2",,
"Cpte Ana. AXIS3","Cpte Ana. AXIS3",,
"Cpte Ana. AXIS4","كبت آنا. المحور4",,
"Cpte Ana. AXIS5","كبت آنا. المحور5",,
"Create PO","إنشاء أمر الشراء",,
"Create an amendment","إنشاء تعديل",,
"Created by","تم إنشاؤها بواسطة",,
"Created on","تم الإنشاء بتاريخ",,
"Currency","عملة",,
"Current amendment","التعديل الحالي",,
