"key","message","comment","context"
"%d times","%d مرات",,
"1 to 20","من 1 إلى 20",,
"100 to 500","من 100 إلى 500",,
"1000 to 2000","من 1000 إلى 2000",,
"20 to 100","من 20 إلى 100",,
"500 to 1000","من 500 إلى 1000",,
"<><Badge bg=""warning"">The selected date is in the past.</Badge></>","<><Badge bg=""warning"">التاريخ المحدد في الماضي.</Badge></>",,
"<><Badge bg=""warning"">There is already a lead with this name.</Badge></>","<><Badge bg=""warning"">يوجد بالفعل عميل محتمل بهذا الاسم.</Badge></>",,
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />","<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"A lost reason must be selected","يجب اختيار سبب الفقدان",,
"Account owner","مالك الحساب",,
"Action","إجراء",,
"Active agency","الوكالة النشطة",,
"Activities","الأنشطة",,
"Activity","نشاط",,
"Add","إضافة",,
"Add a guest","إضافة ضيف",,
"Address","عنوان",,
"Advanced export","تصدير متقدم",,
"After n repetitions","بعد n تكرارات",,
"Agencies","الوكالات",,
"Agencies management","إدارة الوكالات",,
"Agency","وكالة",,
"All events","جميع الأحداث",,
"All opportunities","جميع الفرص",,
"All past events","جميع الأحداث الماضية",,
"All prospects","جميع العملاء المحتملين",,
"All upcoming events","جميع الأحداث القادمة",,
"All users","جميع المستخدمين",,
"Amount","المبلغ",,
"Amount :"," ""المبلغ :""",,
"App","تطبيق",,
"App Crm","تطبيق إدارة العملاء",,
"App crm","تطبيق إدارة العملاء",,
"Apply changes to all recurrence's events","تطبيق التغييرات على جميع الأحداث المتكررة",,
"Apply changes to this event only","تطبيق التغييرات على هذا الحدث فقط",,
"Apply modifications","تطبيق التعديلات",,
"Apply modifications for all","تطبيق التعديلات للجميع",,
"Assign to","تعيين إلى",,
"Assign to me","تعيين لي",,
"Assignable Users","المستخدمون القابلون للتعيين",,
"Assigned to","مخصص لـ",,
"At specific date","في تاريخ محدد",,
"At the date","في التاريخ",,
"Attendee","المشارك",,
"Available","متاح",,
"Batchs","دفعات",,
"Before start date","قبل تاريخ البدء",,
"Best Open Deals","أفضل الصفقات المفتوحة",,
"Best case","أفضل حالة",,
"Busy","مشغول",,
"CRM","قاعدة العملاء",,
"CRM Activities","أنشطة إدارة العملاء",,
"CRM Batch","دفعة إدارة العملاء",,
"CRM batch","دفعة إدارة العملاء",,
"CRM batches","دفعات إدارة العملاء",,
"CRM config","إعدادات إدارة العملاء",,
