"key","message","comment","context"
"Acquisition Date","تاريخ الاستحواذ",,
"Activation Cost","تكلفة التفعيل",,
"Active","نشط",,
"Additional Properties","خصائص إضافية",,
"Amount","المبلغ",,
"Archived","أرشيف",,
"Automatic","تلقائي",,
"Booking","حجز",,
"BookingDate","تاريخ الحجز",,
"Brand","علامة تجارية",,
"CO2 Emissions","انبعاثات CO2",,
"Car value","قيمة السيارة",,
"Category","فئة",,
"Cause of repair","سبب الإصلاح",,
"Chassis Number","رقم الشاسيه",,
"Color","لون",,
"Company","شركة",,
"Configuration","إعداد",,
"Confirmed","مؤكد",,
"Contact set","مجموعة جهات الاتصال",,
"Contract Expiration Date","تاريخ انتهاء العقد",,
"Contract Reference","مرجع العقد",,
"Contract Start date","تاريخ بدء العقد",,
"Contract details","تفاصيل العقد",,
"Contract number","رقم العقد",,
"Contractor","مقاول",,
"Cost","تكلفة",,
"Customer","عميل",,
"Daily","يومي",,
"Date","تاريخ",,
"Date of repair","تاريخ الإصلاح",,
"Diesel","ديزل",,
"Doors","أبواب",,
"Draft","مسودة",,
"Driver","سائق",,
"Electric","كهربائي",,
"Engine Options","خيارات المحرك",,
"Fleet","أسطول",,
"Fuel card code","رمز بطاقة الوقود",,
"Fuel card number","رقم بطاقة الوقود",,
"Fuel log","سجل الوقود",,
"Fuel type","نوع الوقود",,
"Gasoline","بنزين",,
"General Properties","خصائص عامة",,
"Horse Power","قوة الحصان",,
"Horse Power Tax","ضريبة قوة الحصان",,
"Hybrid","هايبرد",,
"Image","صورة",,
"In Progress","قيد التقدم",,
"Included Services","الخدمات المضمنة",,
"Information","معلومات",,
"Insurance","تأمين",,
"Invoice Reference","مرجع الفاتورة",,
"Invoice date","تاريخ الفاتورة",,
"Kilometric value","القيمة الكيلومترية",,
"Leasing","تأجير",,
"Liter","لتر",,
"Location","موقع",,
"Manual","يدوي",,
"Mileage","المسافة المقطوعة",,
"Model","طراز",,
"Monthly","شهري",,
"Name","اسم",,
"None","لا شيء",,
"Notes","ملاحظات",,
"Odometer","عداد المسافات",,
"Odometer unit","وحدة عداد المسافات",,
"Odometers","عدادات المسافات",,
"Partner set","مجموعة الشركاء",,
"Plate number","رقم اللوحة",,
"Power(KW)","الطاقة (KW)",,
"Price per Liter","السعر لكل لتر",,
"Purchaser","المشتري",,
"Recurring Cost","تكلفة متكررة",,
"Recurring Cost Frequency","تكرار تكلفة متكررة",,
"Recurring Costs","تكاليف متكررة",,
"Refueling details","تفاصيل إعادة التزود بالوقود",,
"Rent end","نهاية الإيجار",,
"Rent start","بداية الإيجار",,
"Rental","إيجار",,
"Rental car","سيارة للإيجار",,
"Repairing","إصلاح",,
"Repairs","إصلاحات",,
"Seats","مقاعد",,
"Service Type","نوع الخدمة",,
"Service log","سجل الخدمة",,
"Services","خدمات",,
"State","حالة",,
"Status","حالة",,
"Tags","علامات",,
"Terminated","ملغى",,
"Terms and Conditions","الشروط والأحكام",,
"To Close","لإغلاق",,
"Total Price","السعر الإجمالي",,
"Total cost","التكلفة الإجمالية",,
"Transmission","نقل",,
"Type","نوع",,
"Unit","وحدة",,
"Vehicle","مركبة",,
"Vehicle Contract","عقد المركبة",,
"Vehicle Cost","تكلفة المركبة",,
"Vehicle Fuel","وقود المركبة",,
"Vehicle Fuel Log","سجل وقود المركبة",,
"Vehicle Model","طراز المركبة",,
"Vehicle Recurring Cost","تكلفة المركبة المتكررة",,
"Vehicle Service","خدمة المركبة",,
"Vehicle Service Log","سجل خدمة المركبة",,
"Vehicle Service Type","نوع خدمة المركبة",,
"Vehicle brands","علامات المركبة",,
"Vehicle contract","عقد المركبة",,
"Vehicle contracts","عقود المركبة",,
"Vehicle cost","تكلفة المركبة",,
"Vehicle fuel log","سجل وقود المركبة",,
"Vehicle models","طرازات المركبة",,
"Vehicle odometer","عداد المسافات للمركبة",,
"Vehicle rent","إيجار المركبة",,
"Vehicle service","خدمة المركبة",,
"Vehicle service list","قائمة خدمات المركبة",,
"Vehicle service log","سجل خدمة المركبة",,
"Vehicle service type","نوع خدمة المركبة",,
"Vehicle sevice type","نوع خدمة المركبة",,
"Vehicle tag","علامة المركبة",,
"Vehicle tags","علامات المركبة",,
"Vendor","بائع",,
"Vendors","البائعون",,
"Warning Date","تاريخ التحذير",,
"Weekly","أسبوعي",,
"Yearly","سنوي",,
"g/km","غ/كم",,
"value:Fleet","القيمة: أسطول",,
