"key","message","comment","context"
"0 %","0 %",,
"10 %","10 %",,
"100 %","100 %",,
"20 %","20 %",,
"30 %","30 %",,
"40 %","40 %",,
"50 %","50 %",,
"60 %","60 %",,
"70 %","70 %",,
"80 %","80 %",,
"90 %","90 %",,
"ALL","الكل",,
"All SLA","جميع اتفاقيات مستوى الخدمة",,
"All ticket types","جميع أنواع التذاكر",,
"All tickets","جميع التذاكر",,
"App","تطبيق",,
"App helpdesk","تطبيق خدمة الدعم",,
"Apply on","تطبيق على",,
"Assign to me","تعيين لي",,
"Assigned to","مخصص لـ",,
"Cancel","إلغاء",,
"Characteristics","خصائص",,
"Close","إغلاق",,
"Closed","مغلق",,
"Closed status","حالة مغلقة",,
"Closed ticket status does not exist. Please configure at least one.","حالة التذكرة المغلقة غير موجودة. يرجى تكوين واحدة على الأقل.",,
"Code","رمز",,
"Configuration","إعداد",,
"Current tickets","التذاكر الحالية",,
"Customer","عميل",,
"Customer contact","جهة اتصال العميل",,
"Dates","تواريخ",,
"Deadline","الموعد النهائي",,
"Default status","الحالة الافتراضية",,
"Default ticket status does not exist. Please configure at least one.","حالة التذكرة الافتراضية غير موجودة. يرجى تكوين واحدة على الأقل.",,
"Description","وصف",,
"Duration","مدة",,
"End date","تاريخ الانتهاء",,
"Follow-up","متابعة",,
"From Date","من تاريخ",,
"Full name","الاسم الكامل",,
"Helpdesk","خدمة الدعم",,
"High","مرتفع",,
"In progress","قيد التقدم",,
"Late tickets","التذاكر المتأخرة",,
"Low","منخفض",,
"Manage Timer","إدارة المؤقت",,
"Minimum priority","أدنى أولوية",,
"My team tickets","تذاكر فريقي",,
"My tickets","تذاكري",,
"Name","اسم",,
"New","جديد",,
"Normal","عادي",,
"Not assigned tickets","التذاكر غير المعينة",,
"Number of tickets per SLA & per team","عدد التذاكر لكل اتفاقية مستوى خدمة ولكل فريق",,
"Number of tickets per SLA & per user","عدد التذاكر لكل اتفاقية مستوى خدمة ولكل مستخدم",,
"On going status","حالة جارية",,
"On going ticket status does not exist. Please configure at least one.","حالة التذكرة الجارية غير موجودة. يرجى تكوين واحدة على الأقل.",,
"Overview","نظرة عامة",,
"Partner","شريك",,
"Percentage","نسبة",,
"Percentage of repartition tickets per state","نسبة توزيع التذاكر حسب الحالة",,
"Percentage of tickets per SLA & per team","نسبة التذاكر لكل اتفاقية مستوى خدمة ولكل فريق",,
"Percentage of tickets per SLA & per user","نسبة التذاكر لكل اتفاقية مستوى خدمة ولكل مستخدم",,
"Please select tickets","يرجى اختيار التذاكر",,
"Priority","أولوية",,
"Progress","تقدم",,
"Progress (%)","التقدم (%)",,
"Project","مشروع",,
"Projects","مشاريع",,
"Reach in","الوصول في",,
"Reach stage","مرحلة الوصول",,
"Real total duration (Hours)","المدة الإجمالية الحقيقية (ساعات)",,
"Reportings","تقارير",,
"Resolve","حل",,
"Resolved","تم الحل",,
"Resolved status","حالة تم الحل",,
"Resolved ticket status does not exist. Please configure at least one.","حالة التذكرة المحلولة غير موجودة. يرجى تكوين واحدة على الأقل.",,
"SLA","اتفاقية مستوى الخدمة",,
"SLA Policy","سياسة اتفاقية مستوى الخدمة",,
"SLA completed","تم إكمال اتفاقية مستوى الخدمة",,
"SLA dashboard","لوحة معلومات اتفاقية مستوى الخدمة",,
"SLA policies","سياسات اتفاقية مستوى الخدمة",,
"SLA policy name","اسم سياسة اتفاقية مستوى الخدمة",,
"Sequence","تسلسل",,
"Solved","محلول",,
"Stage to reach","المرحلة للوصول",,
"Start","بدء",,
"Start date","تاريخ البدء",,
"Status","حالة",,
"Stop","إيقاف",,
"Subject","موضوع",,
"Take charge","تولي المسؤولية",,
"Target","هدف",,
"Team","فريق",,
"Ticket","تذكرة",,
"Ticket Number","رقم التذكرة",,
"Ticket NÂ°","رقم التذكرة",,
"Ticket Type","نوع التذكرة",,
"Ticket created","تم إنشاء التذكرة",,
"Ticket dashboard","لوحة معلومات التذكرة",,
"Ticket filters","مرشحات التذكرة",,
"Ticket status","حالة التذكرة",,
"Ticket statuses","حالات التذكرة",,
"Ticket type","نوع التذكرة",,
"Ticket types","أنواع التذاكر",,
"Ticket updated.","تم تحديث التذكرة.",,
"Tickets","التذاكر",,
"Tickets by ticket type","التذاكر حسب نوع التذكرة",,
"Timer","مؤقت",,
"Timer list","قائمة المؤقتات",,
"Timer state","حالة المؤقت",,
"To Date","إلى تاريخ",,
"Total duration (Hours)","إجمالي المدة (ساعات)",,
"Total tickets","إجمالي التذاكر",,
"Unsolved","غير محلولة",,
"Urgent","عاجل",,
"User","مستخدم",,
"User in charge of the issue","المستخدم المسؤول عن المشكلة",,
"Workflow to update status to value provided is not supported by ticket.","سير العمل لتحديث الحالة إلى القيمة المقدمة غير مدعوم من قبل التذكرة.",,
"Working Days","أيام العمل",,
"chart.resolved","الرسم البياني.تم الحل",,
"days","أيام",,
"hours","ساعات",,
"value:Helpdesk","القيمة: خدمة الدعم",,
