"key","message","comment","context"
"% in paper format","% في تنسيق ورقي",,
"%d expense treated successfully,","%d مصروف تم معالجته بنجاح,",,
"%d expenses treated successfully,","%d مصروفات تم معالجتها بنجاح,",,
"%d leave reason(s) treated and %d anomaly(ies) reported !","%d سبب(أسباب) إجازة تم معالجتها و% d شذوذ(شذوذات) تم الإبلاغ عنها!",,
"%s date is invalid. It must be included in the timesheet's period.","تاريخ %s غير صالح. يجب أن يكون مدرجًا في فترة جدول العمل.",,
"6 days week","أسبوع من 6 أيام",,
"<><Badge bg=""warning"">At least one line of this expense exceeds the authorised amount for its type of expense.</Badge></>","<><Badge bg=""warning"">على الأقل سطر واحد من هذه المصروفات يتجاوز المبلغ المصرح به لنوع المصروفات.</Badge></>",,
"<br/>Example:<br/>Start unit : day<br/>End unit : hour<br/><strong>$Project.numberHoursADay$</strong><br/>","<br/>مثال:<br/>وحدة البداية: يوم<br/>وحدة النهاية: ساعة<br/><strong>$Project.numberHoursADay$</strong><br/>",,
"A leave line will be created automatically every month for concerned employee if automatic incrementation is enabled.","سيتم إنشاء سطر إجازة تلقائيًا كل شهر للموظف المعني إذا تم تمكين الزيادة التلقائية.",,
"A leave line will be created automatically every year for concerned employee if automatic incrementation is enabled.","سيتم إنشاء سطر إجازة تلقائيًا كل عام للموظف المعني إذا تم تمكين الزيادة التلقائية.",,
"A leave request is already accepted over this or a portion of this period of time. Please cancel the previous one to accept this one.","تم قبول طلب إجازة بالفعل خلال هذه الفترة أو جزء منها. يرجى إلغاء الطلب السابق لقبول هذا الطلب.",,
"ADD A LINE","أضف سطرًا",,
"Absent","غائب",,
"Account information","معلومات الحساب",,
"Accounting","المحاسبة",,
"Acquired","مكتسب",,
"Action","إجراء",,
"Actions","إجراءات",,
"Activate MyHR enables the HR menu entries for employees.","تفعيل MyHR يمكّن إدخالات قائمة الموارد البشرية للموظفين.",,
"Active","نشط",,
"Active employee","موظف نشط",,
"Active employees","موظفون نشطون",,
"Activity","نشاط",,
"Activity on timesheet line is not enabled.","النشاط على سطر جدول العمل غير مفعل.",,
"Add a line","أضف سطرًا",,
"Add an advance","أضف سلفة",,
"Add lines","أضف أسطرًا",,
"Add multiple lines","أضف أسطرًا متعددة",,
"Add to expense","أضف إلى المصروفات",,
"Advance","سلفة",,
"Advance management","إدارة السلف",,
"Afternoon","بعد الظهر",,
"Alert if the manuf. order is finish","تنبيه إذا كانت طلبية التصنيع قد انتهت",,
"All","الكل",,
"All companies","جميع الشركات",,
"All lines must have the same currency.","يجب أن تكون جميع الأسطر بنفس العملة.",,
"All lines must have the same employee.","يجب أن تكون جميع الأسطر بنفس الموظف.",,
"All remaining leaves will be transferred to the selected leave type. Only incremental type can be chosen.","سيتم تحويل جميع الإجازات المتبقية إلى نوع الإجازة المحدد. يمكن اختيار نوع الزيادة فقط.",,
"All timesheets","جميع جداول العمل",,
"Allow Injection","السماح بالحقن",,
"Allow expense creation","السماح بإنشاء المصروفات",,
"Allow negative value for leaves","السماح بالقيمة السلبية للإجازات",,
"Allow negative values for employee leaves","السماح بالقيم السلبية لإجازات الموظفين",,
"Allow to associate a product to the timesheet line (pre-requisite: only for product type that are services and Activity field is TRUE). Additional configuration can also be found in Application config --> Users/companies --> Companies --> Human resources config.","السماح بربط منتج بسطر جدول العمل (شرط مسبق: فقط لأنواع المنتجات التي هي خدمات وحقل النشاط هو TRUE). يمكن العثور على تكوين إضافي أيضًا في تكوين التطبيق --> المستخدمون/الشركات --> الشركات --> تكوين الموارد البشرية.",,
"Allow updates via editor","السماح بالتحديثات عبر المحرر",,
"Allows external employees to declare expenses. Unlike expense, these declarations do not generate an account move but can be validated before being re-invoiced on a project. External employee costs are reimbursed as part of the payment of a supplier invoice.","يسمح للموظفين الخارجيين بالإعلان عن المصروفات. على عكس المصروفات، لا تولد هذه الإعلانات حركة حسابية ولكن يمكن التحقق منها قبل إعادة فوترتها على مشروع. يتم تعويض تكاليف الموظف الخارجي كجزء من دفع فاتورة المورد.",,
"Alone meal","وجبة بمفردها",,
"Also export already exported payroll preparations","تصدير أيضًا إعدادات الرواتب التي تم تصديرها بالفعل",,
"Always","دائمًا",,
"Amendment","تعديل",,
"Amendment Date","تاريخ التعديل",,
"Amendment type","نوع التعديل",,
"Amendment types","أنواع التعديل",,
"Amount","المبلغ",,
"Amount limit","حد المبلغ",,
"An employee can directly make a request of this leave reason.","يمكن للموظف تقديم طلب مباشرة لهذا السبب في الإجازة.",,
"Analytic distribution","التوزيع التحليلي",,
"Analytic distribution lines","أسطر التوزيع التحليلي",,
"Analytic distribution template","قالب التوزيع التحليلي",,
"Annual expenses report","تقرير المصروفات السنوي",,
"Annual gross salary","الراتب الإجمالي السنوي",,
"Annual report","التقرير السنوي",,
"Annual schedule","الجدول السنوي",,
"Anomaly","شذوذ",,
"App","تطبيق",,
"App Expense","تطبيق المصروفات",,
"App Leave","تطبيق الإجازة",,
"App Timesheet","تطبيق جدول العمل",,
"App employee","تطبيق الموظف",,
"App expense","تطبيق المصروفات",,
"App leave","تطبيق الإجازة",,
"App project","تطبيق المشروع",,
"App timesheet","تطبيق جدول العمل",,
"Application condition","شرط التطبيق",,
"Are you sure wants to remove selected lines?","هل أنت متأكد أنك تريد إزالة الأسطر المحددة؟",,
"Arriving city","مدينة الوصول",,
"At least one line of this expense exceeds the authorised amount for its type of expense.","على الأقل سطر واحد من هذه المصروفات يتجاوز المبلغ المصرح به لنوع المصروفات.",,
"Attach to","إرفاق إلى",,
"Auto incrementation disabled","تم تعطيل الزيادة التلقائية",,
"Auto incrementation enabled","تم تمكين الزيادة التلقائية",,
"Automatic generation dates must be included in the timesheet period","يجب تضمين تواريخ التوليد التلقائي في فترة جدول العمل",,
"Automatic incrementation","الزيادة التلقائية",,
"Automatically generated","تم إنشاؤه تلقائيًا",,
"Available Stock of Lunch Vouchers","المخزون المتاح من قسائم الغداء",,
"Available quantity (acquired)","الكمية المتاحة (المكتسبة)",,
"Available quantity (before validation)","الكمية المتاحة (قبل التحقق)",,
"Balance","الرصيد",,
"Bank","البنك",,
"Bank Order","أمر البنك",,
"Bank card","بطاقة البنك",,
"Bank cards","بطاقات البنك",,
"Bank details","تفاصيل البنك",,
"Base amount per employee","المبلغ الأساسي لكل موظف",,
"Basic information","معلومات أساسية",,
"Batches","دفعات",,
"Batchs","دفعات",,
"Benefits and expenses","المزايا والمصروفات",,
"Birth date","تاريخ الميلاد",,
"Block expense tax modification","حظر تعديل ضريبة المصروفات",,
"Bonus coefficient","معامل المكافأة",,
"Bonus type","نوع المكافأة",,
"Bonuses","المكافآت",,
"Both","كلاهما",,
"By activating this option, the user will only be able to enter a planned time from this selection. Be careful to define the associated values. If the configuration is not activated, no constraints will be applied to the time.","من خلال تفعيل هذا الخيار، سيتمكن المستخدم فقط من إدخال وقت مخطط من هذا الاختيار. كن حذرًا في تحديد القيم المرتبطة. إذا لم يتم تفعيل التكوين، فلن يتم تطبيق أي قيود على الوقت.",,
"CDD","CDD",,
"COMPLEMENT","مكمل",,
"CP","CP",,
"CSP","CSP",,
"CSV","CSV",,
"Calculate","احسب",,
"Calculated","محسوب",,
"Calendar","التقويم",,
"Can only add expense line to drafted expense.","يمكن فقط إضافة سطر مصروف إلى مصروف مسودة.",,
"Can only be selected by HR Management","يمكن تحديده فقط بواسطة إدارة الموارد البشرية",,
"Can only cancel planned or realized medical visit.","يمكن فقط إلغاء الزيارة الطبية المخطط لها أو المنجزة.",,
"Can only confirm/complete from draft status.","يمكن فقط تأكيد/إكمال من حالة المسودة.",,
"Can only plan draft medical visit.","يمكن فقط تخطيط زيارة طبية مسودة.",,
"Can only realize planned medical visit.","يمكن فقط تحقيق الزيارة الطبية المخطط لها.",,
"Can only refuse a waiting for validation timesheet.","يمكن فقط رفض جدول العمل في انتظار التحقق.",,
"Can only validate a waiting for validation timesheet.","يمكن فقط التحقق من جدول العمل في انتظار التحقق.",,
"Cancel","إلغاء",,
"Cancel payment","إلغاء الدفع",,
"Canceled","ملغى",,
"Canceled Expense Template","قالب مصروف ملغى",,
"Canceled Extra Hours Template","قالب ساعات إضافية ملغى",,
"Canceled Leave Request Template","قالب طلب إجازة ملغى",,
"Canceled Timesheet Template","قالب جدول العمل الملغى",,
"Canteen","كانتين",,
"Catalog","كتالوج",,
"Categorization","تصنيف",,
"Change of position","تغيير المنصب",,
"Charges and Contributions","الرسوم والمساهمات",,
"Choose payment mode","اختر وضع الدفع",,
"Citizenship","الجنسية",,
"City of birth","مدينة الميلاد",,
"Close period","إغلاق الفترة",,
"Closed","مغلق",,
"Code","الرمز",,
"Code nature","طبيعة الرمز",,
"Coefficient","معامل",,
"Coefficient for bonus","معامل المكافأة",,
"Cohabitee","شريك",,
"Colleague Leave Requests","طلبات إجازة الزملاء",,
"Collective agreement","اتفاقية جماعية",,
"Collective agreements","اتفاقيات جماعية",,
"Comment","تعليق",,
"Comments","تعليقات",,
"Companies","الشركات",,
"Company","شركة",,
"Company %s does not have any expense's sequence","الشركة %s لا تحتوي على أي تسلسل مصروفات",,
"Company address","عنوان الشركة",,
"Company bank card","بطاقة البنك الخاصة بالشركة",,
"Company credit card details","تفاصيل بطاقة الائتمان الخاصة بالشركة",,
"Company department","قسم الشركة",,
"Company fixed phone","الهاتف الثابت للشركة",,
"Company's credit card","بطاقة الائتمان الخاصة بالشركة",,
"Complete","اكمل",,
"Completed","مكتمل",,
"Compute amounts","احسب المبالغ",,
"Compute distance with web service","احسب المسافة باستخدام خدمة الويب",,
"Configurable","قابل للتكوين",,
"Configuration","التكوين",,
"Confirm","تأكيد",,
"Confirm & Continue","تأكيد واستمرار",,
"Confirmed Extra Hours Template","قالب ساعات إضافية مؤكدة",,
"Confirmed Timesheet Template","قالب جدول العمل المؤكد",,
"Consolidate timesheet line on invoice","دمج سطر جدول العمل في الفاتورة",,
"Consume","استهلك",,
"Contact","جهة الاتصال",,
"Contact details","تفاصيل الاتصال",,
"Contact in case of emergency","جهة الاتصال في حالة الطوارئ",,
"Content","المحتوى",,
"Continue","استمر",,
"Contract","عقد",,
"Contract extension","تمديد العقد",,
"Contract sub type","نوع العقد الفرعي",,
"Contract type","نوع العقد",,
"Contract types","أنواع العقود",,
"Contractual information","معلومات تعاقدية",,
"Contrat duration must be <= to this duration","يجب أن تكون مدة العقد <= لهذه المدة",,
"Contrat duration must be > to this duration","يجب أن تكون مدة العقد > لهذه المدة",,
"Conventional Hourly Rate","معدل الساعة التقليدي",,
"Conventional Monthly Rate","معدل الشهر التقليدي",,
"Costs","التكاليف",,
"Counted","محسوب",,
"Country of birth","بلد الميلاد",,
"Create","إنشاء",,
"Create Leave Request","إنشاء طلب إجازة",,
"Create Timesheet line","إنشاء سطر جدول العمل",,
"Create amendment","إنشاء تعديل",,
"Create expense","إنشاء مصروف",,
"Create lines for day leaves","إنشاء أسطر للإجازات اليومية",,
"Create lines for public holidays","إنشاء أسطر للعطلات الرسمية",,
"Create new user","إنشاء مستخدم جديد",,
"Create or update a scheduler","إنشاء أو تحديث جدول زمني",,
"Create scheduler","إنشاء جدول زمني",,
"Created automatically by increment leave batch on","تم إنشاؤه تلقائيًا بواسطة دفعة إجازة متزايدة في",,
"Created by","تم إنشاؤه بواسطة",,
"Created on","تم إنشاؤه في",,
"Currency","العملة",,
"Current user doesn't have an employee.","المستخدم الحالي ليس لديه موظف.",,
"DATE D'ENTREE","تاريخ الدخول",,
"DATE DE SORTIE","تاريخ الخروج",,
"DATE NAISS","تاريخ الميلاد",,
"DEPT NAISS","قسم الميلاد",,
"DPAE","DPAE",,
"DPAE filters","مرشحات DPAE",,
"DPAEs","DPAEs",,
"Daily cost","التكلفة اليومية",,
"Daily limit","الحد اليومي",,
"Daily work hours","ساعات العمل اليومية",,
"Date","التاريخ",,
"Date can't be in the future","لا يمكن أن يكون التاريخ في المستقبل",,
"Date can't be in the future for line(s) : %s","لا يمكن أن يكون التاريخ في المستقبل للسطر(الأسطر): %s",,
"Date difference should be maximam 31 days.","يجب أن تكون الفرق بين التواريخ بحد أقصى 31 يومًا.",,
"Date of birth","تاريخ الميلاد",,
"Date of hire","تاريخ التوظيف",,
"Dates","التواريخ",,
"Day","يوم",,
"Day leave","إجازة يوم",,
"Days","أيام",,
"Days validated","الأيام التي تم التحقق منها",,
"Deduct lunch voucher","خصم قسيمة الغداء",,
"Default Activity Product","المنتج النشط الافتراضي",,
"Default bank details are not filled for your company.","تفاصيل البنك الافتراضية غير مملوءة لشركتك.",,
"Default day number gain","عدد الأيام الافتراضي المكتسب",,
"Delete","احذف",,
