"key","message","comment","context"
"Action","إجراء",,,
"Activate recurrence planning","تفعيل تخطيط التكرار",,,
"Address","عنوان",,,
"Advanced monitoring","المراقبة المتقدمة",,,
"Advanced monitoring address","عنوان المراقبة المتقدمة",,,
"Advanced startup monitoring range","نطاق المراقبة المتقدمة",,,
"After sale service sale order follow up","متابعة طلب الخدمة بعد البيع",,,
"Afternoon","بعد الظهر",,,
"All articles must belong to the same partner","يجب أن تنتمي جميع المقالات إلى نفس الشريك",,,
"All required questions of the survey must be answered to finish the intervention.","يجب الإجابة على جميع الأسئلة المطلوبة في الاستبيان لإنهاء التدخل.",,,
"Already in requested status.","في حالة الطلب بالفعل.",,,
"Answer","إجابة",,,
"Answer type","نوع الإجابة",,,
"Answer types","أنواع الإجابة",,,
"Answer value","قيمة الإجابة",,,
"Answer values","قيم الإجابة",,,
"Answered","تمت الإجابة",,,
"App","تطبيق",,,
"App Intervention","تدخل التطبيق",,,
"App intervention","تدخل التطبيق",,,
"Are you sure wants to remove selected lines?","هل أنت متأكد أنك تريد إزالة الخطوط المحددة؟",,,
"Are you sure wants to remove selected questions?","هل أنت متأكد أنك تريد إزالة الأسئلة المحددة؟",,,
"Article","مقال",,,
"Assets management","إدارة الأصول",,,
"Assigned to","مخصص لـ",,,
"Attached file","ملف مرفق",,,
"Auto generate customer request","توليد طلب العميل تلقائيًا",,,
"Batches","دفعات",,,
"By equipment","حسب المعدات",,,
"By equipment family","حسب عائلة المعدات",,,
"Cancel","إلغاء",,,
"Cancelled","ملغى",,,
"Cannot go to requested status from current status.","لا يمكن الانتقال إلى حالة الطلب من الحالة الحالية.",,,
"Change equipment","تغيير المعدات",,,
"Checkbox","مربع اختيار",,,
"Checkbox name","اسم مربع الاختيار",,,
"Code","رمز",,,
"Comments","تعليقات",,,
"Commercial","تجاري",,,
"Commercial follow-up","متابعة تجارية",,,
"Commissioning date","تاريخ التشغيل",,,
"Companies","شركات",,,
"Company","شركة",,,
"Conditional","شرطي",,,
"Conditional answer values","قيم الإجابة الشرطية",,,
"Conditional intervention question","سؤال التدخل الشرطي",,,
"Conditional range question","سؤال النطاق الشرطي",,,
"Configuration","تكوين",,,
"Confirm","تأكيد",,,
"Confirm planification","تأكيد التخطيط",,,
"Contact","جهة الاتصال",,,
"Contact details","تفاصيل الاتصال",,,
"Contract","عقد",,,
"Contract template","نموذج العقد",,,
"Contracts","عقود",,,
"Contractual","تعاقدي",,,
"Could not find equipment with id %s.","لم يتم العثور على المعدات بالمعرف %s.",,,
"Could not find picture with id %s.","لم يتم العثور على الصورة بالمعرف %s.",,,
"Create an intervention","إنشاء تدخل",,,
"Create new equipment","إنشاء معدات جديدة",,,
"Create new equipment model","إنشاء نموذج معدات جديدة",,,
"Create range question","إنشاء سؤال نطاق",,,
"Created by","تم الإنشاء بواسطة",,,
"Created on","تم الإنشاء في",,,
"Customer request","طلب العميل",,,
"Customer request can't be generated as some required fields are missing.","لا يمكن إنشاء طلب العميل حيث أن بعض الحقول المطلوبة مفقودة.",,,
"Customer requests","طلبات العملاء",,,
"Customer warranty on part end date","تاريخ انتهاء ضمان العميل على الجزء",,,
"Customer.Equipments","المعدات",,,
"Date","تاريخ",,,
"Default intervention category","فئة التدخل الافتراضية",,,
"Default intervention category from contract batch","فئة التدخل الافتراضية من دفعة العقد",,,
"Default intervention description","وصف التدخل الافتراضي",,,
"Default previsional duration","المدة التقديرية الافتراضية",,,
"Default request source","مصدر الطلب الافتراضي",,,
"Default request source from contract batch","مصدر الطلب الافتراضي من دفعة العقد",,,
"Default request subject","موضوع الطلب الافتراضي",,,
"Default request subject from contract batch","موضوع الطلب الافتراضي من دفعة العقد",,,
"Default text value","قيمة النص الافتراضية",,,
"Default type for interventions from contracts","النوع الافتراضي للتدخلات من العقود",,,
"Delay to send the quotation (h)","تأخير إرسال الاقتباس (س)",,,
"Delete","حذف",,,
"Delete btn","زر الحذف",,,
"Delete range questions","حذف أسئلة النطاق",,,
"Delivered partner","الشريك المقدم",,,
"Description","وصف",,,
"Designation","تعيين",,,
"Desired unit","الوحدة المرغوبة",,,
"Display all linked interventions by the contract","عرض جميع التدخلات المرتبطة بالعقد",,,
"Draft","مسودة",,,
"Duration","مدة",,,
"Duration in","المدة في",,,
"Durations","مدد",,,
"Email sent","تم إرسال البريد الإلكتروني",,,
"End date","تاريخ الانتهاء",,,
"Equipment","معدات",,,
"Equipment / Contract","معدات / عقد",,,
"Equipment families","عائلات المعدات",,,
"Equipment family","عائلة المعدات",,,
"Equipment filters","مرشحات المعدات",,,
"Equipment informations","معلومات المعدات",,,
"Equipment line Product label","تسمية منتج خط المعدات",,,
"Equipment line filters","مرشحات خط المعدات",,,
"Equipment lines","خطوط المعدات",,,
"Equipment model","نموذج المعدات",,,
"Equipment models","نماذج المعدات",,,
"Equipment ranges","نطاقات المعدات",,,
"Equipment successfully added.","تمت إضافة المعدات بنجاح.",,,
"Equipment successfully removed.","تمت إزالة المعدات بنجاح.",,,
"Equipments","معدات",,,
"Equipments lines","خطوط المعدات",,,
"Equipments tree","شجرة المعدات",,,
"Error happened during process execution","حدث خطأ أثناء تنفيذ العملية",,,
"Error opening zip file %s: %s","خطأ في فتح ملف zip %s: %s",,,
"Estimated date","تاريخ تقديري",,,
"Estimated end date time","تاريخ ووقت الانتهاء المقدر",,,
"Estimated month","شهر تقديري",,,
"Exclusive intervention","تدخل حصري",,,
"Fail","فشل",,,
"Faulty equipments number","عدد المعدات المعطلة",,,
"File","ملف",,,
"Filters","مرشحات",,,
"Finish","إنهاء",,,
"Finish manually","إنهاء يدويًا",,,
"Finished","منتهي",,,
"Finished interventions","التدخلات المنتهية",,,
"Following","التالي",,,
"Following : No","التالي: لا",,,
"Following : Yes","التالي: نعم",,,
"Following questions","الأسئلة التالية",,,
"Footer ranges","نطاقات التذييل",,,
"GIT","جيت",,,
"GIT / GRT","جيت / جرت",,,
"GIT status","حالة جيت",,,
"GRT","جرت",,,
"GRT status","حالة جرت",,,
"Generate equipments","توليد المعدات",,,
"Generate intervention for active contracts","توليد التدخل للعقود النشطة",,,
"Generate interventions","توليد التدخلات",,,
"Generate sale order","توليد طلب البيع",,,
"Guaranteed intervention time (h)","الوقت المضمون للتدخل (س)",,,
"Guaranteed recovery time (h)","الوقت المضمون للاسترداد (س)",,,
"Header ranges","نطاقات الرأس",,,
"Hidden","مخفي",,,
"Home","الرئيسية",,,
"Hour","ساعة",,,
"Important","مهم",,,
"Impossible to remove equipment model that has children's equipment models","من المستحيل إزالة نموذج المعدات الذي يحتوي على نماذج معدات فرعية",,,
"Impossible to remove equipment that has children's equipment","من المستحيل إزالة المعدات التي تحتوي على معدات فرعية",,,
"In progress","قيد التقدم",,,
"In progress interventions","التدخلات قيد التقدم",,,
"In service","في الخدمة",,,
"Indication","إشارة",,,
"Indication text","نص الإشارة",,,
"Indicator","مؤشر",,,
"Information","معلومات",,,
"Intervention","تدخل",,,
"Intervention address","عنوان التدخل",,,
"Intervention batch","دفعة التدخل",,,
"Intervention batches","دفعات التدخل",,,
"Intervention categories","فئات التدخل",,,
"Intervention category","فئة التدخل",,,
"Intervention config","تكوين التدخل",,,
"Intervention config (${ name })","تكوين التدخل (${ name })",,,
"Intervention configuration","تكوين التدخلات",,,
"Intervention configurations","تكوين التدخلات",,,
"Intervention note","ملاحظة التدخل",,,
"Intervention note type","نوع ملاحظة التدخل",,,
"Intervention note types","أنواع ملاحظات التدخل",,,
"Intervention notes","ملاحظات التدخل",,,
"Intervention question","سؤال التدخل",,,
"Intervention question state","حالة سؤال التدخل",,,
"Intervention questions","أسئلة التدخل",,,
"Intervention range","نطاق التدخل",,,
"Intervention ranges","نطاقات التدخل",,,
"Intervention status successfully updated.","تم تحديث حالة التدخل بنجاح.",,,
"Intervention type","نوع التدخل",,,
"Intervention types","أنواع التدخل",,,
"Intervention.endDateTime","تاريخ ووقت انتهاء التدخل",,,
"Intervention.lastStartDateTime","تاريخ ووقت آخر بدء للتدخل",,,
"Intervention.startDateTime","تاريخ ووقت بدء التدخل",,,
"Interventions","التدخلات",,,
"Interventions will be generated if the date of the next visit is less than this delay.","سيتم توليد التدخلات إذا كان تاريخ الزيارة التالية أقل من هذا التأخير.",,,
"Invalid data","بيانات غير صالحة",,,
"Invoiced partner","الشريك المفوتر",,,
"Is answered ?","هل تمت الإجابة؟",,,
"Is conditional ?","هل هو شرطي؟",,,
"Is default ?","هل هو افتراضي؟",,,
"Is private ?","هل هو خاص؟",,,
"Is required ?","هل هو مطلوب؟",,,
"Is survey generation running","هل يتم توليد الاستبيان",,,
"Justification","مبرر",,,
"Last maintenance visit date done","تاريخ آخر زيارة صيانة",,,
"Link","رابط",,,
"Linked intervention","التدخل المرتبط",,,
"Linked intervention types","أنواع التدخل المرتبطة",,,
"Linked interventions","التدخلات المرتبطة",,,
