"key","message","comment","context"
"A JPQL SELECT query must be used. The first information fetched from the query must be the label and the second one the value. <br>Example : <br>SELECT partner.fullName, count(so.id) FROM Partner partner LEFT JOIN SaleOrder so on partner.id = so.clientPartner GROUP BY partner.fullName <br>Note : <br>- The JPQL query must select at least 2 values. <br>- The first selected value must be a string type. <br>- The second selected value must be a number type (long, decimal, integer). <br>- If more than 2 values are selected, they will be ignored. <br>","يجب استخدام استعلام JPQL SELECT. يجب أن تكون المعلومات الأولى المستخرجة من الاستعلام هي التسمية والثانية هي القيمة. <br>مثال : <br>SELECT partner.fullName, count(so.id) FROM Partner partner LEFT JOIN SaleOrder so on partner.id = so.clientPartner GROUP BY partner.fullName <br>ملاحظة : <br>- يجب أن يختار استعلام JPQL قيمتين على الأقل. <br>- يجب أن تكون القيمة الأولى المختارة من نوع سلسلة. <br>- يجب أن تكون القيمة الثانية من نوع رقم (طويل، عشري، صحيح). <br>- إذا تم اختيار أكثر من قيمتين، فسيتم تجاهلها. <br>"
"AOS view","عرض AOS",,,
"Action","إجراء",,,
"Activate invoicing on projects","تفعيل الفوترة على المشاريع",,,
"Activate multi currency","تفعيل العملات المتعددة",,,
"Active menus","القوائم النشطة",,,
"Activities","أنشطة",,,
"Activity","نشاط",,,
"All","الكل",,,
"Allow edition of date","السماح بتحرير التاريخ",,,
"Allow kilometric expenses","السماح بالمصروفات الكيلومترية",,,
"Allow line creation of expense details","السماح بإنشاء سطر تفاصيل المصروفات",,,
"Allow line creation of timesheet details","السماح بإنشاء سطر تفاصيل جدول الوقت",,,
"Allow manual creation of expense","السماح بإنشاء المصروفات يدويًا",,,
"Allow manual creation of timesheet","السماح بإنشاء جدول الوقت يدويًا",,,
"Allow users to manage carrier option for customer deliveries.","السماح للمستخدمين بإدارة خيار الناقل لتسليم العملاء.",,,
"Allows the user to define the position of the menu in the list. By default, the new menu entry is positioned at the end, but it can also be inserted between two existing menus. The order value for standard menus is its index in the list multiplied by 10. So to position a new menu between the first and second menu entries, you need to give it an order between 10 and 20.","يسمح للمستخدم بتحديد موضع القائمة في القائمة. بشكل افتراضي، يتم وضع إدخال القائمة الجديد في النهاية، ولكن يمكن أيضًا إدراجه بين قائمتين موجودتين. قيمة الترتيب للقوائم القياسية هي فهرسها في القائمة مضروبًا في 10. لذا لوضع قائمة جديدة بين الإدخال الأول والثاني، تحتاج إلى إعطائها ترتيبًا بين 10 و 20.",,,
"Allows to filter the product types displayed on the mobile application in the sales section.","يسمح بتصفية أنواع المنتجات المعروضة على التطبيق المحمول في قسم المبيعات.",,,
"Allows users to fill in the username field on the login page with the qr code present on the user's form view.","يسمح للمستخدمين بملء حقل اسم المستخدم في صفحة تسجيل الدخول باستخدام رمز الاستجابة السريعة الموجود في عرض نموذج المستخدم.",,,
"Allows you to customize the active menus for this application. If the menus are not configured then all the menus of the application are available.","يسمح لك بتخصيص القوائم النشطة لهذا التطبيق. إذا لم يتم تكوين القوائم، فستكون جميع قوائم التطبيق متاحة.",,,
"Allows you to define which fields are visible on timers and timesheet lines form views. By default, if nothing is selected, all fields are visible. This configuration extends the employee's configuration for time allocation.","يسمح لك بتحديد الحقول التي تكون مرئية في عرض نماذج مؤقتات وسطور جدول الوقت. بشكل افتراضي، إذا لم يتم تحديد أي شيء، تكون جميع الحقول مرئية. هذه التكوينات توسع تكوين الموظف لتخصيص الوقت.",,,
"Allows you to enable this package on the mobile application.","يسمح لك بتمكين هذه الحزمة على التطبيق المحمول.",,,
"App","تطبيق",,,
"App configuration","تكوين التطبيق",,,
"App mobile","تطبيق المحمول",,,
"App mobile settings","إعدادات تطبيق المحمول",,,
"Application","تطبيق",,,
"Authorized roles","الأدوار المصرح بها",,,
"Authorized values for menuType : menu, separator or submenu","القيم المصرح بها لنوع القائمة: قائمة، فاصل أو قائمة فرعية",,,
"Bar","شريط",,,
"Barcode","رمز شريطي",,,
"Bootstrap icon name, see https://icons.getbootstrap.com/","اسم أيقونة Bootstrap، انظر https://icons.getbootstrap.com/",,,
"CRM","إدارة علاقات العملاء",,,
"CRM config","تكوين إدارة علاقات العملاء",,,
"Chart","رسم بياني",,,
"Chart 1","رسم بياني 1",,,
"Chart 2","رسم بياني 2",,,
"Chart 3","رسم بياني 3",,,
"Chart 4","رسم بياني 4",,,
"Chart type","نوع الرسم البياني",,,
"Chart.indicator","مؤشر الرسم البياني",,,
"Config CRM","تكوين إدارة علاقات العملاء",,,
"Config HR","تكوين الموارد البشرية",,,
"Config Helpdesk","تكوين مكتب المساعدة",,,
"Config Intervention","تكوين التدخل",,,
"Config Production","تكوين الإنتاج",,,
"Config Project","تكوين المشروع",,,
"Config Quality","تكوين الجودة",,,
"Config Sale","تكوين المبيعات",,,
"Config Stock","تكوين المخزون",,,
"Custom field","حقل مخصص",,,
"Custom menu entry","إدخال قائمة مخصص",,,
"Customize menus","تخصيص القوائم",,,
"Customize translations","تخصيص الترجمات",,,
"Dashboard management","إدارة لوحة المعلومات",,,
"Defines whether products from the configurator are to be displayed on the mobile application or not.","يحدد ما إذا كان يجب عرض المنتجات من المُهيئ على التطبيق المحمول أم لا.",,,
"Defines whether variants are managed with the generic product or directly by the variant product. If the configuration is activated, you must go through the generic product to select a variant, otherwise all variants are displayed and selectable on the application.","يحدد ما إذا كانت المتغيرات تُدار مع المنتج العام أو مباشرة بواسطة المنتج المتغير. إذا تم تفعيل التكوين، يجب عليك المرور عبر المنتج العام لاختيار متغير، وإلا سيتم عرض جميع المتغيرات وقابلة للاختيار على التطبيق.",,,
"Donut","دونات",,,
"Enable addition of new lines in customer delivery.","تفعيل إضافة أسطر جديدة في تسليم العملاء.",,,
"Enable addition of new lines in supplier arrival.","تفعيل إضافة أسطر جديدة في وصول الموردين.",,,
"Enable app","تفعيل التطبيق",,,
"Enable default stock location management","تفعيل إدارة موقع المخزون الافتراضي",,,
"Enable inventory validation.","تفعيل التحقق من المخزون.",,,
"Enable line addition","تفعيل إضافة الأسطر",,,
"Enable line verification","تفعيل التحقق من الأسطر",,,
"Enable line verification on customer deliveries","تفعيل التحقق من الأسطر في تسليم العملاء",,,
"Enable line verification on internal moves","تفعيل التحقق من الأسطر في التحركات الداخلية",,,
"Enable line verification on inventories","تفعيل التحقق من الأسطر في المخزونات",,,
"Enable line verification on supplier arrivals","تفعيل التحقق من الأسطر في وصول الموردين",,,
"Enable project invoicing","تفعيل فوترة المشروع",,,
"Enable stock correction validation.","تفعيل التحقق من تصحيح المخزون.",,,
"Enable the user to create a new menu entry with custom title, icon and order.","تمكين المستخدم من إنشاء إدخال قائمة جديدة بعنوان مخصص، أيقونة وترتيب.",,,
"Enable tracker messages.","تفعيل رسائل المتعقب.",,,
"Enable validation","تفعيل التحقق",,,
"Enabling this setting, allows you to see on the mobile application the comments and changes that are tracked on the web application.","تفعيل هذا الإعداد، يسمح لك برؤية التعليقات والتغييرات التي تم تتبعها على التطبيق المحمول.",,,
"Expenses","المصروفات",,,
"Fields to show on timesheet","الحقول التي تظهر في جدول الوقت",,,
"For each of the following features, if configuration is enabled, users will be asked to confirm the tracking number or product of the line before accessing the details screen. If the setting is disabled, they will be able to access the details screen directly.","بالنسبة لكل من الميزات التالية، إذا تم تفعيل التكوين، سيُطلب من المستخدمين تأكيد رقم التتبع أو المنتج للسطر قبل الوصول إلى شاشة التفاصيل. إذا تم تعطيل الإعداد، سيتمكنون من الوصول إلى شاشة التفاصيل مباشرة.",,,
"General","عام",,,
"General configuration","التكوين العام",,,
"Generate QR Code","إنشاء رمز الاستجابة السريعة",,,
"Generate barcode","إنشاء رمز شريطي",,,
"HR","الموارد البشرية",,,
"HR config","تكوين الموارد البشرية",,,
"Helpdesk","مكتب المساعدة",,,
"Helpdesk config","تكوين مكتب المساعدة",,,
"Icon name","اسم الأيقونة",,,
"If no role selected, everyone can use this feature. Else, only roles selected have the ability to use this feature.","إذا لم يتم تحديد أي دور، يمكن للجميع استخدام هذه الميزة. خلاف ذلك، فقط الأدوار المحددة لديها القدرة على استخدام هذه الميزة.",,,
"If this configuration is enabled, users can add new lines to the enabled feature on mobile application.","إذا تم تفعيل هذا التكوين، يمكن للمستخدمين إضافة أسطر جديدة إلى الميزة المفعلة على التطبيق المحمول.",,,
"If this configuration is enabled, users will be able to directly validate the enabled feature on mobile application.","إذا تم تفعيل هذا التكوين، سيتمكن المستخدمون من التحقق مباشرة من الميزة المفعلة على التطبيق المحمول.",,,
"Indicates the minimal required version of the mobile application. If the user's version is different than the one indicated, the mobile app will require the user to update to have access to the app.","يشير إلى الحد الأدنى المطلوب من إصدار التطبيق المحمول. إذا كان إصدار المستخدم مختلفًا عن الإصدار المحدد، سيطلب التطبيق المحمول من المستخدم التحديث للوصول إلى التطبيق.",,,
"Indicators","مؤشرات",,,
"Intervention","تدخل",,,
"Intervention config","تكوين التدخل",,,
"Key","مفتاح",,,
"Line","سطر",,,
"List of active menus for this application. Menus need to be added to this list to make them accessible on the mobile application. Once a menu has been added, you can restrict access to it to the associated roles.","قائمة القوائم النشطة لهذا التطبيق. يجب إضافة القوائم إلى هذه القائمة لجعلها متاحة على التطبيق المحمول. بمجرد إضافة قائمة، يمكنك تقييد الوصول إليها للأدوار المرتبطة بها.",,,
"List of roles that have access to this application. If the field is empty then everyone has access to the application. If it contains at least one role then only users with one of the roles present have access to the application.","قائمة الأدوار التي لديها حق الوصول إلى هذا التطبيق. إذا كان الحقل فارغًا، فإن الجميع لديهم حق الوصول إلى التطبيق. إذا كان يحتوي على دور واحد على الأقل، فإن المستخدمين الذين لديهم أحد الأدوار الموجودة فقط لديهم حق الوصول إلى التطبيق.",,,
"List of roles with access to this menu. If the field is empty, then everyone has access to the menu. If it contains at least one role, then only users with one of the roles present have access to the menu. However, if the application itself has restrictions on roles, then the user must have a role included in the authorized roles for the application concerned, as well as a role entered in this field.","قائمة الأدوار التي لديها حق الوصول إلى هذه القائمة. إذا كان الحقل فارغًا، فإن الجميع لديهم حق الوصول إلى القائمة. إذا كان يحتوي على دور واحد على الأقل، فإن المستخدمين الذين لديهم أحد الأدوار الموجودة فقط لديهم حق الوصول إلى القائمة. ومع ذلك، إذا كان للتطبيق نفسه قيود على الأدوار، فيجب أن يكون لدى المستخدم دور مدرج في الأدوار المصرح بها للتطبيق المعني، بالإضافة إلى دور مدخل في هذا الحقل.",,,
"Manage carrier option","إدارة خيار الناقل",,,
"Manuf order","طلب التصنيع",,,
"Manufacturing","تصنيع",,,
"Manufacturing operation","عملية التصنيع",,,
"Menu","قائمة",,,
"Menu name","اسم القائمة",,,
"Menu order","ترتيب القائمة",,,
"Menu title","عنوان القائمة",,,
"Menu translation","ترجمة القائمة",,,
"Menu type","نوع القائمة",,,
"Menus config","تكوين القوائم",,,
"Minimal required version of the mobile application.","الحد الأدنى المطلوب من إصدار التطبيق المحمول.",,,
"Mobile Chart","رسم بياني محمول",,,
"Mobile Menu","قائمة محمولة",,,
"Mobile Menus","قوائم محمولة",,,
"Mobile app","تطبيق محمول",,,
"Mobile apps","تطبيقات محمولة",,,
"Mobile chart","رسم بياني محمول",,,
"Mobile config","تكوين محمول",,,
"Mobile dashboard","لوحة معلومات محمولة",,,
"Mobile dashboard line","سطر لوحة المعلومات المحمولة",,,
"Mobile dashboard line list","قائمة أسطر لوحة المعلومات المحمولة",,,
"Mobile dashboard lines","أسطر لوحة المعلومات المحمولة",,,
"Mobile dashboard list","قائمة لوحة المعلومات المحمولة",,,
"Mobile dashboards","لوحات المعلومات المحمولة",,,
"Mobile menus and screens have been created.","تم إنشاء القوائم والشاشات المحمولة.",,,
"Mobile screen","شاشة محمولة",,,
"Mobile screens","شاشات محمولة",,,
"Mobile shortcut","اختصار محمول",,,
"Mobile shortcut list","قائمة الاختصارات المحمولة",,,
"Mobile shortcuts","اختصارات محمولة",,,
"Mobile tracebacks","تتبع محمول",,,
"Mobile translations","ترجمات محمولة",,,
"Mobile web view","عرض الويب المحمول",,,
"Mobile web views","عرض الويب المحمول",,,
"Name","اسم",,,
"None","لا شيء",,,
"On customer deliveries","على تسليم العملاء",,,
"On internal moves","على التحركات الداخلية",,,
"On inventories","على المخزونات",,,
"On stock corrections","على تصحيحات المخزون",,,
"On supplier arrivals","على وصول الموردين",,,
"Parent application","التطبيق الرئيسي",,,
"Parent application of the dashboard menu entry.","التطبيق الرئيسي لإدخال قائمة لوحة المعلومات.",,,
"Parent application of the menu entry.","التطبيق الرئيسي لإدخال القائمة.",,,
"Parent menu name","اسم القائمة الرئيسية",,,
"Pie","فطيرة",,,
"Production config","تكوين الإنتاج",,,
"Project","مشروع",,,
"Project config","تكوين المشروع",,,
"Project task","مهمة المشروع",,,
"Quality","جودة",,,
"Quality config","تكوين الجودة",,,
"Query","استعلام",,,
"Reporting to display","التقارير للعرض",,,
"Response","استجابة",,,
"Response of the query for settings","استجابة الاستعلام للإعدادات",,,
"Response of the query of the chart","استجابة استعلام الرسم البياني",,,
"Run","تشغيل",,,
"Sale","بيع",,,
"Sale config","تكوين البيع",,,
"Screen","شاشة",,,
"Screen name","اسم الشاشة",,,
"See web views","عرض مشاهد الويب",,,
"Select all menus","تحديد جميع القوائم",,,
"Separator","فاصل",,,
"Shortcut management","إدارة الاختصارات",,,
"Shortcuts display","عرض الاختصارات",,,
"Show charts","عرض الرسوم البيانية",,,
"Show configurator products","عرض منتجات المُهيئ",,,
"Show generic product","عرض المنتج العام",,,
"Stock","مخزون",,,
"Stock config","تكوين المخزون",,,
"Submenu","قائمة فرعية",,,
"Submenu needs a parent menu.","تحتاج القائمة الفرعية إلى قائمة رئيسية.",,,
"Technical name","اسم تقني",,,
"Technical name should be the menu key used in module export on mobile application.","يجب أن يكون الاسم التقني هو مفتاح القائمة المستخدم في تصدير الوحدة على التطبيق المحمول.",,,
"There is an error with the query : \n","هناك خطأ في الاستعلام: \n",,,
"Timesheets","جداول الوقت",,,
"Title","عنوان",,,
"Types of products to display","أنواع المنتجات للعرض",,,
"Url","رابط",,,
"Usable on shortcut","قابل للاستخدام على الاختصار",,,
"Use custom chart","استخدام رسم بياني مخصص",,,
"Use qrCode for user connection","استخدام رمز الاستجابة السريعة لتوصيل المستخدم",,,
"User","مستخدم",,,
"View dashboards","عرض لوحات المعلومات",,,
"View tracebacks","عرض تتبع الأخطاء",,,
"Visible in mobile application","مرئي في التطبيق المحمول",,,
"You do not have access to this record","ليس لديك حق الوصول إلى هذا السجل",,,
"all","الكل",,,
"isOneLineShortcut.Grid","isOneLineShortcut.Grid",,,
"mobileMenu.Order","mobileMenu.Order",,,
"value:Axelor Mobile Settings","القيمة: إعدادات Axelor المحمولة",,,
