"key","message","comment","context"
"% Gap","% الفجوة",,,
"%d MO created.","تم إنشاء %d أمر تصنيع.",,,
"%s building","%s قيد البناء",,,
"%s consume","%s استهلاك",,,
"%s missing","%s مفقود",,,
"* %s Computed work in progress valuation","* %s تقييم العمل قيد التنفيذ المحسوب",,,
"* %s Filled SOP lines","* %s خطوط SOP المملوءة",,,
"105","105",,,
"5","5",,,
"<b>Missing components</b> :<br/>%s","<b>المكونات المفقودة</b> :<br/>%s",,,
"A cancel reason must be selected","يجب اختيار سبب الإلغاء",,,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","قائمة بخطوط أوامر البيع التي سيتم معالجتها. يمكن اختيار الخطوط التي تتوافق مع الشروط التالية :\nالمنتج قابل للتخزين\nالمنتج مُدار في المخزون\nالمنتج غير مستبعد من إدارة الموارد\nيجب أن تحتوي أوامر البيع/العروض على نفس موقع المخزون أو موقع فرعي\nإذا كانت MPS، يجب أن يكون المنتج منتجًا نهائيًا\nيجب أن تكون الكمية الموردة من الخط أقل من الكمية الإجمالية\nيجب أن يتوافق الخط مع نوع أو أكثر من أنواع حركة الموارد",,,
"Action","إجراء",,,
"Actions","إجراءات",,,
"Add Manuf. Order","إضافة أمر تصنيع",,,
"All Child MO","جميع أوامر التصنيع الفرعية",,,
"All Current Manufacturing Orders","جميع أوامر التصنيع الحالية",,,
"All Upcoming Manufacturing Orders","جميع أوامر التصنيع القادمة",,,
"All products has been consumed","تم استهلاك جميع المنتجات",,,
"Allocate","تخصيص",,,
"Allocate all","تخصيص الكل",,,
"Allow to personalize bill of material","السماح بتخصيص فاتورة المواد",,,
"Allow to personalize production process","السماح بتخصيص عملية الإنتاج",,,
"Alternative Bill of materials","فاتورة المواد البديلة",,,
"Anomalies","الانحرافات",,,
"App","تطبيق",,,
"App Supplychain","تطبيق سلسلة التوريد",,,
"App manufacturing","تطبيق التصنيع",,,
"App production","تطبيق الإنتاج",,,
"Applicable","قابل للتطبيق",,,
"Approval","الموافقة",,,
"Are you sure you want to merge those manufacturing orders?","هل أنت متأكد أنك تريد دمج أوامر التصنيع هذه؟",,,
"Are you sure you want to run the calculation ? Calculation can take a long time.","هل أنت متأكد أنك تريد تشغيل الحساب؟ قد يستغرق الحساب وقتًا طويلاً.",,,
"As soon as possible","في أقرب وقت ممكن",,,
"At the latest","في أقصى حد",,,
"Auto request qty for manuf orders","طلب الكمية تلقائيًا لأوامر التصنيع",,,
"Automatic email was not sent because no default email account and/or no valid email account was found : please create one.","لم يتم إرسال البريد الإلكتروني التلقائي لأنه لم يتم العثور على حساب بريد إلكتروني افتراضي و/أو حساب بريد إلكتروني صالح: يرجى إنشاء واحد.",,,
"Automatically plan after fusion","التخطيط تلقائيًا بعد الدمج",,,
"Automatically plan the manuf. orders generated from sale order","التخطيط تلقائيًا لأوامر التصنيع الناتجة عن أوامر البيع",,,
"Available stock","المخزون المتاح",,,
"Average Price","السعر المتوسط",,,
"BOM","فاتورة المواد",,,
"BOM currently has no status","فاتورة المواد الحالية ليس لها حالة",,,
"BOM is already on draft status","فاتورة المواد بالفعل في حالة مسودة",,,
"BOM.billOfMaterialList","ملخص المكونات",,
"BOM.company","الشركة",,
"BOM.defineSubBillOfMaterial","تعريف فاتورة المواد الفرعية",,
"BOM.hasNoManageStock","لا يتم إدارة المخزون",,
"BOM.priority","الأولوية",,
"BOM.qty","الكمية",,
"BOM.residualProducts","المنتجات المتبقية",,
"BOM.title","فاتورة المواد",,
"BOM.unit","الوحدة",,
"BOM.versionNumber","رقم الإصدار",,
"Back to draft","العودة إلى المسودة",,,
"Barcode","الرمز الشريطي",,,
"Barcode Type","نوع الرمز الشريطي",,,
"Batchs","دفعات",,,
"Bill of material","فاتورة المواد",,,
"Bill of material line","خط فاتورة المواد",,,
"Bill of material line list","قائمة خطوط فاتورة المواد",,,
"Bill of materials","فواتير المواد",,,
"Bill of materials import","استيراد فواتير المواد",,,
"Bill of materials import line","خط استيراد فاتورة المواد",,,
"Bill of materials import line tree","شجرة خط استيراد فاتورة المواد",,,
"Bill of materials import lines","خطوط استيراد فواتير المواد",,,
"Bill of materials import source","مصدر استيراد فواتير المواد",,,
"Bill of materials import sources","مصادر استيراد فواتير المواد",,,
"Bill of materials imports","استيراد فواتير المواد",,,
"BillOfMaterial","فاتورة المواد",,,
"Bills of material","فواتير المواد",,,
"Bills of material filters","مرشحات فواتير المواد",,,
"Bills of materials","فواتير المواد",,,
"Bills of materials generated","فواتير المواد الناتجة",,,
"Binding file","ملف الربط",,,
"BoM","فاتورة المواد",,,
"BoM line","خط فاتورة المواد",,,
"Bom child tree list","قائمة شجرة الأطفال لفاتورة المواد",,,
"Bom level","مستوى فاتورة المواد",,,
"Bom tree list","قائمة شجرة فاتورة المواد",,,
"Brand","العلامة التجارية",,,
"Buying currency","عملة الشراء",,,
"Buying date","تاريخ الشراء",,,
"Buying price","سعر الشراء",,,
"By enabling this, the total cost price will be calculated by considering the real duration (including hours) of production cycle.","من خلال تمكين ذلك، سيتم حساب إجمالي سعر التكلفة من خلال اعتبار المدة الحقيقية (بما في ذلك الساعات) لدورة الإنتاج.",,,
"Calculate all BOM levels","احسب جميع مستويات فاتورة المواد",,,
"Calculation date","تاريخ الحساب",,,
"Calculation in progress","الحساب قيد التقدم",,,
"Calculation number","رقم الحساب",,,
"Calculation type","نوع الحساب",,,
"Calendars","التقويمات",,,
"Cancel","إلغاء",,,
"Cancel Reason","سبب الإلغاء",,,
"Cancel Reasons","أسباب الإلغاء",,,
"Cancel reason","سبب الإلغاء",,,
"Cancel reservation","إلغاء الحجز",,,
"Canceled","ملغى",,,
"Cancellation","الإلغاء",,,
"Cancellation confirmation","تأكيد الإلغاء",,,
"Cancelled MOs","أوامر التصنيع الملغاة",,,
"Cancelled Operations","العمليات الملغاة",,,
"Cannot add a manufacturing order without a production process. Please check that your chosen bill of materials has a valid production process.","لا يمكن إضافة أمر تصنيع بدون عملية إنتاج. يرجى التحقق من أن فاتورة المواد المختارة لديك تحتوي على عملية إنتاج صالحة.",,,
"Cannot make BOM applicable that is not validated","لا يمكن جعل فاتورة المواد قابلة للتطبيق إذا لم يتم التحقق منها",,,
"Cannot make BOM obsolete that is not applicable","لا يمكن جعل فاتورة المواد غير قابلة للتطبيق إذا لم تكن قابلة للتطبيق",,,
"Cannot make prod process applicable that is not validated","لا يمكن جعل عملية الإنتاج قابلة للتطبيق إذا لم يتم التحقق منها",,,
"Cannot make prod process obsolete that is not applicable","لا يمكن جعل عملية الإنتاج غير قابلة للتطبيق إذا لم تكن قابلة للتطبيق",,,
"Cannot validate BOM that is not draft","لا يمكن التحقق من فاتورة المواد التي ليست مسودة",,,
"Cannot validate prod process that is not draft","لا يمكن التحقق من عملية الإنتاج التي ليست مسودة",,,
"Capacity","السعة",,,
"Capacity settings","إعدادات السعة",,,
"Category","الفئة",,,
"Change allocated qty","تغيير الكمية المخصصة",,,
"Children MO","أوامر التصنيع الفرعية",,,
"Code","الرمز",,,
"Comments","التعليقات",,,
"Companies","الشركات",,,
"Company","الشركة",,,
"Company_currency","عملة الشركة",,,
"Completed","مكتمل",,,
"Components","المكونات",,,
"Components default stock location","الموقع الافتراضي للمخزون للمكونات",,,
"Components valuation method for BOM","طريقة تقييم المكونات لفاتورة المواد",,,
"Components valuation method for manuf. order","طريقة تقييم المكونات لأمر التصنيع",,,
"Comput. cost","تكلفة الحوسبة",,,
"Compute cost price","احسب سعر التكلفة",,,
"Compute total forecast","احسب التوقعات الإجمالية",,,
"Compute work in progress valuation","احسب تقييم العمل قيد التنفيذ",,,
"Computed_cost","التكلفة المحسوبة",,,
"Condition","الحالة",,,
"Configuration","التكوين",,,
"Configuration issue in product %s: the MRP execution was canceled because a loop was detected when searching for components in BOM.","مشكلة التكوين في المنتج %s: تم إلغاء تنفيذ MRP لأن حلقة تم اكتشافها عند البحث عن المكونات في فاتورة المواد.",,,
"Configuration issue: the MRP execution was canceled because a loop was detected when searching for components in BOM.","مشكلة التكوين: تم إلغاء تنفيذ MRP لأن حلقة تم اكتشافها عند البحث عن المكونات في فاتورة المواد.",,,
"Configurator BOM","فاتورة المواد المكونة",,,
"Configurator BOM component","مكون فاتورة المواد المكونة",,,
"Configurator BOM components","مكونات فاتورة المواد المكونة",,,
"Configurator BOM tree view","عرض شجرة فاتورة المواد المكونة",,,
"Configurator BoM","فاتورة المواد المكونة",,,
"Configurator Phase","مرحلة المكون",,,
"Configurator Phases","مراحل المكون",,,
"Configurator Prod Process","عملية الإنتاج المكونة",,,
"Configurator Prod Process filters","مرشحات عملية الإنتاج المكونة",,,
"Configurator creators","مبدعو المكون",,,
"Configurator prod product","منتج المكون",,,
"Configurator prod products","منتجات المكون",,,
"Configurator production process","عملية الإنتاج المكونة",,,
"Configurators","المكونون",,,
"Configurators BOMs","فواتير المواد المكونة",,,
"Configurators BOMs tree","شجرة فواتير المواد المكونة",,,
