"key","message","comment","context"
"%s : You must configure Project module for company %s","%s : يجب عليك تكوين وحدة المشروع لشركة %s",,,
"%s project","%s مشروع",,,
"0 %",,,
"10 %",,,
"100 %",,,
"20 %",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<< Previous","<< السابق",,,
"Actions","الإجراءات",,,
"Activate a field on a project task where you can record the task progress in %.","تنشيط حقل في مهمة المشروع حيث يمكنك تسجيل تقدم المهمة بالنسبة المئوية.",,,
"Activate a panel tab, within a project-task-form related to the project, allowing to replicate a task following a date frequency defined by the user.","تنشيط علامة تبويب داخل نموذج مهمة المشروع، مما يسمح بتكرار مهمة بناءً على تكرار زمني يحدده المستخدم.",,,
"Activate the project change shortcut","تفعيل اختصار تغيير المشروع",,,
"Activates a Kanban view with tasks of the project categorized by section, accessible via the Tools menu.","يُنشّط عرض كانبان مع مهام المشروع المصنفة حسب القسم، ويمكن الوصول إليها عبر قائمة الأدوات.",,,
"Activates a Kanban view with tasks of the project categorized by status, accessible via the Tools menu.","يُنشّط عرض كانبان مع مهام المشروع المصنفة حسب الحالة، ويمكن الوصول إليها عبر قائمة الأدوات.",,,
"Activates a Planification tab on the project-task-form allowing to record planned times on tasks, in order to compare with actual spent time.","يُنشّط علامة تبويب التخطيط في نموذج مهمة المشروع، مما يسمح بتسجيل الأوقات المخططة للمهام لمقارنتها بالوقت الفعلي المستغرق.",,,
"Activates a calendar view with tasks of the project categorized by section, accessible via the Tools menu.","يُنشّط عرض التقويم مع مهام المشروع المصنفة حسب القسم، ويمكن الوصول إليه عبر قائمة الأدوات.",,,
"Activates a calendar view with tasks of the project categorized by status, accessible via the Tools menu.","يُنشّط عرض التقويم مع مهام المشروع المصنفة حسب الحالة، ويمكن الوصول إليه عبر قائمة الأدوات.",,,
"Activates a calendar view with tasks of the project categorized by user, accessible via the Tools menu.","يُنشّط عرض التقويم مع مهام المشروع المصنفة حسب المستخدم، ويمكن الوصول إليه عبر قائمة الأدوات.",,,
"Activates a gantt view of the project accessible via the Tools menu.","يُنشّط عرض جانت للمشروع، ويمكن الوصول إليه عبر قائمة الأدوات.",,,
"Active project","المشروع النشط",,,
"Active project changed to %s","تم تغيير المشروع النشط إلى %s",,,
"Activities","الأنشطة",,,
"Activity","نشاط",,,
"Add a new check list item","إضافة عنصر جديد إلى قائمة التحقق",,,
"Add a new item","إضافة عنصر جديد",,,
"Added by","أضيف بواسطة",,,
"All","الكل",,,
"All open tasks","جميع المهام المفتوحة",,,
"All tasks","جميع المهام",,,
"All tasks (tree)","جميع المهام (شجرة)",,,
"Allow to activate an additional tasks classification, customizable according the the user needs. Section can be created in the Configuration sub-menu of the Project menu.","السماح بتنشيط تصنيف إضافي للمهام، قابل للتخصيص وفقًا لاحتياجات المستخدم. يمكن إنشاء القسم في القائمة الفرعية للتكوين ضمن قائمة المشروع.",,,
"Allow to allocate Time spent from the project-task-form. A readonly logtimes paneltab will also appear on the related project-form. Note: if you use the HR timesheets, these log times will allocate HR Timesheet for the concerned colleague.","السماح بتخصيص الوقت المستغرق من نموذج مهمة المشروع. ستظهر أيضًا علامة تبويب سجلات الوقت للقراءة فقط في نموذج المشروع ذي الصلة. ملاحظة: إذا كنت تستخدم جداول زمنية الموارد البشرية، فسيتم تخصيص هذه السجلات لزميل العمل المعني.",,,
"Allow to open discussion topic, where project members can interact, accessible via the the Tools menu.","السماح بفتح موضوع مناقشة حيث يمكن لأعضاء المشروع التفاعل، ويمكن الوصول إليه عبر قائمة الأدوات.",,,
"App","التطبيق",,,
"App base","قاعدة التطبيق",,,
"App customized fields","الحقول المخصصة للتطبيق",,,
"App json","تكوين JSON للتطبيق",,,
"App project","مشروع التطبيق",,,
"Apply modifications to next tasks","تطبيق التعديلات على المهام التالية",,,
"Are you sure you want to delete this task ?","هل أنت متأكد أنك تريد حذف هذه المهمة؟",,,
"Assign the task to a user. The user has to be created beforehand and recorded as a member of the selected project (in the membersPanelTab of the project).","إسناد المهمة إلى مستخدم. يجب إنشاء المستخدم مسبقًا وتسجيله كعضو في المشروع المحدد (في لوحة أعضاء المشروع).",,,
"Assigned to","مُسنَدة إلى",,,
"Attrs","السمات",,,
"Book resource","حجز المورد",,,
"Business project","مشروع الأعمال",,,
"Calendar","التقويم",,,
"Cancel","إلغاء",,,
"Canceled project status","حالة المشروع الملغى",,,
"Categories?","الفئات؟",,,
"Category","الفئة",,,
"Category customized fields","الحقول المخصصة للفئة",,,
"Category json","تكوين JSON للفئة",,,
"Characteristics","الخصائص",,,
"Check availability of resources","التحقق من توفر الموارد",,,
"Check list","قائمة التحقق",,,
"Check list item","عنصر قائمة التحقق",,,
"Check list template","نموذج قائمة التحقق",,,
"Check list templates","نماذج قائمة التحقق",,,
"Close topic","إغلاق الموضوع",,,
"Closed","مغلق",,,
"Code","الرمز",,,
"Company","الشركة",,,
"Completed","مكتمل",,,
"Completed ?","مكتمل؟",,,
"Completed project status","حالة المشروع المكتمل",,,
"Completed task status","حالة المهمة المكتملة",,,
"Configuration","التكوين",,,
"Configurations","التكوينات",,,
"Content","المحتوى",,,
"Create project from this template","إنشاء مشروع من هذا القالب",,,
"Currency","العملة",,,
"Custom field","حقل مخصص",,,
"Custom fields","الحقول المخصصة",,,
"Custom fields management","إدارة الحقول المخصصة",,,
"Customer","العميل",,,
"Customer Contact","جهة اتصال العميل",,,
"Customized","مخصص",,,
"Customized fields","الحقول المخصصة",,,
"Daily planned charge in a month in an average per employee","المعدل اليومي المخطط في الشهر لكل موظف في المتوسط",,,
"Daily planned charge in a month per employee","المعدل اليومي المخطط في الشهر لكل موظف",,,
"Daily planned charge in a month per project","المعدل اليومي المخطط في الشهر لكل مشروع",,,
"Dashboard","لوحة التحكم",,,
"Date","التاريخ",,,
"Date or frequency changed","تم تغيير التاريخ أو التكرار",,,
"Deadline","الموعد النهائي",,,
"Deadline Today","الموعد النهائي اليوم",,,
"Deadline Tomorrow","الموعد النهائي غدًا",,,
"Deadline Yesterday","الموعد النهائي بالأمس",,,
"Decimal","عشري",,,
"Default priorities","الأولويات الافتراضية",,,
"Default progress","التقدم الافتراضي",,,
"Default sites","المواقع الافتراضية",,,
"Default task status","حالة المهمة الافتراضية",,,
"Delay to start (Hours)","تأخير البدء (بالساعات)",,,
"Delete","حذف",,,
"Description","الوصف",,,
"Details","التفاصيل",,,
"Due Date","تاريخ الاستحقاق",,,
"Duration (Hours)","المدة (بالساعات)",,,
"Duration hours","مدة الساعات",,,
"Employee","الموظف",,,
"Empty opposite project task link type","نوع ارتباط مهمة المشروع العكسي فارغ",,,
"Empty the opposite link type","إفراغ نوع الارتباط العكسي",,,
"Enable Gantt view","تمكين عرض جانت",,,
"Enable Kanban view per section","تمكين عرض كانبان لكل قسم",,,
"Enable Kanban view per status","تمكين عرض كانبان حسب الحالة",,,
"Enable calendar view per section","تمكين عرض التقويم لكل قسم",,,
"Enable calendar view per status","تمكين عرض التقويم حسب الحالة",,,
"Enable calendar view per user","تمكين عرض التقويم لكل مستخدم",,,
"Enable per project task sequence","تمكين تسلسل المهام لكل مشروع",,,
"Enable site management for project","تمكين إدارة المواقع للمشروع",,,
"Enable status management by task category","تمكين إدارة الحالة حسب فئة المهام",,,
"Enable status progress by category.","تمكين تقدم الحالة حسب الفئة.",,,
"Enable task progress by status","تمكين تقدم المهمة حسب الحالة",,,
"Enable task signature","تمكين توقيع المهمة",,,
"Estimated time","الوقت المقدر",,,
"Estimated time (in hours)","الوقت المقدر (بالساعات)",,,
"Extends members from parent","تمديد الأعضاء من الأصل",,,
"Finish","إنهاء",,,
"Finish tasks to finish","إنهاء المهام لإكمالها",,,
"Finish tasks to start","إنهاء المهام لبدئها",,,
"First","الأول",,,
"Folder","المجلد",,,
"Follow-up","المتابعة",,,
"Followers","المتابعون",,,
"Frequency","التكرار",,,
"Frequency end date cannot be before task date.","لا يمكن أن يكون تاريخ انتهاء التكرار قبل تاريخ المهمة.",,,
"From","من",,,
"From Date","من تاريخ",,,
"From date","من التاريخ",,,
"Full name could not be computed, please check the groovy formula.","لا يمكن حساب الاسم الكامل، يرجى التحقق من معادلة Groovy.",,,
"Full name groovy formula","معادلة Groovy للاسم الكامل",,,
"Gantt","جانت",,,
"Gantt with project","جانت مع المشروع",,,
"Gantt with user","جانت مع المستخدم",,,
"Gen proj type per order line","توليد نوع المشروع لكل سطر طلب",,,
