"key","message","comment","context"
"50 Latest Supplier Orders","أحدث 50 طلب مورد",,,
"A tax line is missing","سطر الضريبة مفقود",,,
"ABC analysis","تحليل ABC",,,
"ATI","ATI",,,
"AbcAnalysis.endDate","تاريخ نهاية تحليل ABC",,,
"AbcAnalysis.startDate","تاريخ بداية تحليل ABC",,,
"Accept","قبول",,,
"Accepted","تم القبول",,,
"Actions","الإجراءات",,,
"Add","إضافة",,,
"Advance payment A.T.I. total","إجمالي الدفعة المقدمة ATI",,,
"Advance payment total","إجمالي الدفعة المقدمة",,,
"Amount","المبلغ",,,
"Amount A.T.I.","المبلغ ATI",,,
"Amount Tax","مبلغ الضريبة",,,
"Amount Tax (via percentages)","مبلغ الضريبة (عن طريق النسب المئوية)",,,
"Amount invoiced W.T.","المبلغ المفوتر W.T.",,,
"Amount to be spread over the timetable","المبلغ الذي سيتم توزيعه على الجدول الزمني",,,
"Analytic distribution","التوزيع التحليلي",,,
"Analytic distribution required on purchase order line","التوزيع التحليلي مطلوب في سطر أمر الشراء",,,
"App","التطبيق",,,
"App purchase","شراء التطبيق",,,
"Back to validated order","العودة إلى الطلب المعتمد",,,
"Base W.T.","الأساس W.T.",,,
"Business Project","مشروع الأعمال",,,
"Business project","مشروع الأعمال",,,
"Buyer","المشتري",,,
"Calculated price/Qty","السعر/الكمية المحسوبة",,,
"Can not cancel already canceled purchase request.","لا يمكن إلغاء طلب شراء تم إلغاؤه بالفعل.",,,
"Can only accept requested purchase request.","يمكن فقط قبول طلب الشراء المطلوب.",,,
"Can only cancel drafted, requested or validated purchase order.","يمكن فقط إلغاء أمر الشراء في حالة مسودة، مطلوب أو معتمد.",,,
"Can only finish validated purchase order.","يمكن فقط إنهاء أمر الشراء المعتمد.",,,
"Can only purchase accepted purchase request.","يمكن فقط شراء طلب الشراء المقبول.",,,
"Can only refuse requested purchase request.","يمكن فقط رفض طلب الشراء المطلوب.",,,
"Can only request drafted purchase order.","يمكن فقط طلب أمر شراء في حالة المسودة.",,,
"Can only request drafted purchase request.","يمكن فقط طلب طلب شراء في حالة المسودة.",,,
"Can only return to draft from canceled purchase request.","يمكن فقط العودة إلى المسودة من طلب شراء ملغى.",,,
"Can only return to draft from cancelled purchase order.","يمكن فقط العودة إلى المسودة من أمر شراء ملغى.",,,
"Can only validate requested purchase order.","يمكن فقط اعتماد أمر الشراء المطلوب.",,,
"Cancel","إلغاء",,,
"Cancel receipt","إلغاء الاستلام",,,
"Canceled","تم الإلغاء",,,
"Characteristics","الخصائص",,,
"ChartPO.saleOrder","مخطط أوامر البيع",,,
"Closed Purchase orders","أوامر الشراء المغلقة",,,
"Code","الرمز",,,
"Company","الشركة",,,
"Company bank","بنك الشركة",,,
"Company currency","عملة الشركة",,,
"Configuration","التكوين",,,
"Confirm","تأكيد",,,
"Confirm merge purchase order","تأكيد دمج أمر الشراء",,,
"Confirmation","التأكيد",,,
"Contact","جهة الاتصال",,,
"Contact partner","شريك الاتصال",,,
"Contacts","جهات الاتصال",,,
"Content","المحتوى",,,
"Currency","العملة",,,
"Current purchase quotations / orders","عروض الأسعار / أوامر الشراء الحالية",,,
"Dashboard","لوحة التحكم",,,
"Dates","التواريخ",,,
"Default unit","الوحدة الافتراضية",,,
"Delivery","التسليم",,,
"Description","الوصف",,,
"Description To Display","الوصف المعروض",,,
"Desired receipt date","تاريخ الاستلام المطلوب",,,
"Discount amount","مبلغ الخصم",,,
"Discount rate","معدل الخصم",,,
"Discount type","نوع الخصم",,,
"Display buyer on printing","عرض المشتري عند الطباعة",,,
"Display price on requested purchase printing","عرض السعر عند طباعة طلب الشراء",,,
"Display product code on printing","عرض رمز المنتج عند الطباعة",,,
"Display product detail on printing","عرض تفاصيل المنتج عند الطباعة",,,
"Display purchase order line number","عرض رقم سطر أمر الشراء",,,
"Display supplier code on printing","عرض رمز المورد عند الطباعة",,,
"Display tax detail on printing","عرض تفاصيل الضريبة عند الطباعة",,,
"Displayed Product name","اسم المنتج المعروض",,,
"Draft","مسودة",,,
"Enable product description copy","تمكين نسخ وصف المنتج",,,
"End date","تاريخ الانتهاء",,,
"Estim. receipt date","التاريخ التقديري للاستلام",,,
"Estimated receipt date","التاريخ المقدر للاستلام",,,
"Filter on supplier","التصفية حسب المورد",,,
"Filter products by trading name","تصفية المنتجات حسب الاسم التجاري",,,
"Finish the order","إنهاء الطلب",,,
"Finished","مُنهى",,,
"Fiscal position","المركز المالي",,,
"Fixed Assets","الأصول الثابتة",,,
"Follow-up","المتابعة",,,
"Freeze fields","تجميد الحقول",,,
"From Date","من تاريخ",,,
"Full name","الاسم الكامل",,,
"Generate PO","إنشاء أمر شراء",,,
"Generate control invoice","إنشاء فاتورة تحكم",,,
"Generate purchase configurations","إنشاء تكوينات الشراء",,,
"Generate supplier arrival","إنشاء وصول المورد",,,
"Generate suppliers requests","إنشاء طلبات الموردين",,,
"Group by product","التجميع حسب المنتج",,,
"Group by supplier","التجميع حسب المورد",,,
