"key","message","comment","context"
"Acceptance","القبول",,
"Acceptance required","مطلوب القبول",,
"Accepted","مقبول",,
"Accepted quantity","الكمية المقبولة",,
"Action","الإجراء",,
"Action distribution sequence","تسلسل توزيع الإجراء",,
"Action distribution template","قالب توزيع الإجراء",,
"Action plan","خطة العمل",,
"Action proposed","الإجراء المقترح",,
"Actions","الإجراءات",,
"Add optional control points","إضافة نقاط تحكم اختيارية",,
"Advancement","التقدم",,
"Alert calendar","تقويم التنبيهات",,
"All fields related to the order will be reset, continue ?","سيتم إعادة تعيين جميع الحقول المتعلقة بالطلب، هل تتابع؟",,
"Analysis","التحليل",,
"Analysis Method","طريقة التحليل",,
"Analysis costs","تكاليف التحليل",,
"Analysis method line","خط طريقة التحليل",,
"Analysis method lines","خطوط طريقة التحليل",,
"Analysis methods","طرق التحليل",,
"Answer comment","تعليق الإجابة",,
"Answer required","مطلوب إجابة",,
"Answered by","تمت الإجابة بواسطة",,
"Answered on","تمت الإجابة في",,
"App","التطبيق",,
"App quality","جودة التطبيق",,
"Applicable","قابل للتطبيق",,
"Automatic mail by completing quality control","البريد التلقائي بإكمال مراقبة الجودة",,
"Branch","الفرع",,
"Calendar","التقويم",,
"Cancel","إلغاء",,
"Canceled","ملغى",,
"Cancelled Status","حالة الإلغاء",,
"Cancelled status already exists.","حالة الإلغاء موجودة بالفعل.",,
"Causal analysis","التحليل السببي",,
"Cause","السبب",,
"Cause analysis","تحليل السبب",,
"Causes","الأسباب",,
"Causes written by","الأسباب مكتوبة بواسطة",,
"Causes written on","الأسباب مكتوبة في",,
"Changing this value will change value of product, continue ?","تغيير هذه القيمة سيغير قيمة المنتج، هل تتابع؟",,
"Characteristic","الخاصية",,
"Characteristic or sample does not belong to this control entry.","الخاصية أو العينة لا تنتمي إلى إدخال التحكم هذا.",,
"Check","التحقق",,
"Check conformity","التحقق من المطابقة",,
"Choose quality process","اختر عملية الجودة",,
"Close","إغلاق",,
"Closed Status","الحالة المغلقة",,
"Closed status already exists.","الحالة المغلقة موجودة بالفعل.",,
"Code","الكود",,
"Coefficient","المعامل",,
"Company","الشركة",,
"Compliant","مطابق",,
"Configuration","التكوين",,
"Configurations by company","التكوينات حسب الشركة",,
"Confirm","تأكيد",,
"Confirmed","تم التأكيد",,
"Conformity","المطابقة",,
"Conformity formula can not be fetched","لا يمكن جلب صيغة المطابقة",,
"Contact","الاتصال",,
"Control Frequency","تردد التحكم",,
"Control Points","نقاط التحكم",,
"Control comment","تعليق التحكم",,
"Control entries","إدخالات التحكم",,
"Control entry","إدخال التحكم",,
"Control entry sample","عينة إدخال التحكم",,
"Control entry sample line","خط عينة إدخال التحكم",,
"Control entry sample lines","خطوط عينة إدخال التحكم",,
"Control entry samples","عينات إدخال التحكم",,
"Control plan","خطة التحكم",,
"Control plan characteristics","خصائص خطة التحكم",,
"Control plan frequencies","ترددات خطة التحكم",,
"Control plan frequency","تردد خطة التحكم",,
"Control plan line","خط خطة التحكم",,
"Control plan line characteristics","خصائص خط خطة التحكم",,
"Control plan lines","خطوط خطة التحكم",,
"Control plans","خطط التحكم",,
"Control point","نقطة التحكم",,
"Control point list","قائمة نقاط التحكم",,
"Control point model list","قائمة نماذج نقاط التحكم",,
"Control point name","اسم نقطة التحكم",,
"Control point type","نوع نقطة التحكم",,
"Control points","نقاط التحكم",,
"Control type","نوع التحكم",,
"Corrective","تصحيحي",,
"Corrective actions","الإجراءات التصحيحية",,
"Corrective actions list","قائمة الإجراءات التصحيحية",,
"Costs list per decision","قائمة التكاليف لكل قرار",,
"Create control entry samples","إنشاء عينات إدخال التحكم",,
"Critical","حرج",,
"Criticality","الأهمية الحرجة",,
"Custom frequency","التردد المخصص",,
"Customer","العميل",,
"Customer Order","طلب العميل",,
"Customer Order line","خط طلب العميل",,
"Customer contact","اتصال العميل",,
"Customer delivery note","إذن تسليم العميل",,
"Customer delivery note line","خط إذن تسليم العميل",,
"Customer signature","توقيع العميل",,
"Date","التاريخ",,
"Deadline","الموعد النهائي",,
"Decision","القرار",,
"Decision distribution sequence","تسلسل توزيع القرار",,
"Decision distribution template","قالب توزيع القرار",,
"Decision making","صنع القرار",,
"Decisions","القرارات",,
"Decisions written by","القرارات مكتوبة بواسطة",,
"Decisions written on","القرارات مكتوبة في",,
"Default","الافتراضي",,
"Default written by","الافتراضي مكتوب بواسطة",,
"Default written on","الافتراضي مكتوب في",,
"Defaults","الافتراضيات",,
"Description","الوصف",,
"Details","التفاصيل",,
"Detected by (internal)","تم الكشف بواسطة (داخلي)",,
"Detection","الكشف",,
"Detections","الكشوفات",,
"Direct cost","التكلفة المباشرة",,
"Distribution","التوزيع",,
"Distribution of costs per decision","توزيع التكاليف لكل قرار",,
"Distributions","التوزيعات",,
"Document reference","مرجع المستند",,
"Documentary","وثائقي",,
"Done","تم",,
"Draft","مسودة",,
"Earliest date","أقرب تاريخ",,
"Edit control points","تحرير نقاط التحكم",,
"Editable","قابل للتحرير",,
"Efficiency","الكفاءة",,
"Efficiency Criteria","معايير الكفاءة",,
"Efficiency checked by","تم التحقق من الكفاءة بواسطة",,
"Efficiency checked on","تم التحقق من الكفاءة في",,
"Employee","الموظف",,
"End date","تاريخ الانتهاء",,
"Entry attrs","سمات الإدخال",,
"Entry date","تاريخ الإدخال",,
"Entry sample line","خط عينة الإدخال",,
"Evaluation of the conformity formula failed, please make sure that every required fields for the evaluation are filled.","فشل تقييم صيغة المطابقة، يرجى التأكد من ملء جميع الحقول المطلوبة للتقييم.",,
"Excepted result for formula is either true (compliant) or false (not compliant). Current result = %s","النتيجة المتوقعة للصيغة هي إما صحيحة (مطابقة) أو خاطئة (غير مطابقة). النتيجة الحالية = %s",,
"External Diffusion","النشر الخارجي",,
"File","الملف",,
"Finish","إنهاء",,
"Finished","منتهي",,
"Fixed amount","المبلغ الثابت",,
"Formula","الصيغة",,
"Frequency","التردد",,
"From Date","من تاريخ",,
"Full name","الاسم الكامل",,
"Generate distributions","إنشاء التوزيعات",,
"Generate distributions for other","إنشاء التوزيعات للآخرين",,
"Generate distributions for responsibles","إنشاء التوزيعات للمسؤولين",,
"Generate quality configurations","إنشاء تكوينات الجودة",,
"Generated file","الملف المُنشأ",,
"Gravity","الجاذبية",,
"High","مرتفع",,
"Identification","التعريف",,
"In progress","قيد التقدم",,
"Inspector","المفتش",,
"Inspector signature","توقيع المفتش",,
"Internal","داخلي",,
"Internal Diffusion","النشر الداخلي",,
"Interne","داخلي",,
"Items","العناصر",,
"Label","التسمية",,
"Latest date","أحدث تاريخ",,
"Level","المستوى",,
"Low","منخفض",,
"Major","رئيسي",,
"Manual","يدوي",,
"Manual Identification","التعريف اليدوي",,
"Manuf Order consummed product","المنتج المستهلك في أمر التصنيع",,
"Manuf Order product to consume","المنتج المطلوب استهلاكه في أمر التصنيع",,
"Manufacturing Order","أمر التصنيع",,
"Measuring Type","نوع القياس",,
"Measuring point list","قائمة نقاط القياس",,
"Measuring points","نقاط القياس",,
"Minor","ثانوي",,
"Model for quality control","نموذج لمراقبة الجودة",,
"My alerts","تنبيهاتي",,
"My quality controls","ضوابط الجودة الخاصة بي",,
"My team alerts","تنبيهات فريقي",,
"My team quality controls","ضوابط الجودة لفريقي",,
"Name","الاسم",,
"New","جديد",,
"No","لا",,
"No checked","لم يتم التحقق",,
"No status have been found for the QA, please register at least one in the configurations","لم يتم العثور على أي حالة لضمان الجودة، يرجى تسجيل واحدة على الأقل في التكوينات",,
"Non-Conforming quantity","الكمية غير المطابقة",,
"Normal","عادي",,
"Not compliant","غير مطابق",,
"Not controlled","غير خاضع للتحكم",,
"Note","ملاحظة",,
"Notes","الملاحظات",,
"Number","الرقم",,
"Number of quality alerts by team","عدد تنبيهات الجودة حسب الفريق",,
"Number of quality control by team","عدد ضوابط الجودة حسب الفريق",,
"Number of solved quality alerts by team","عدد تنبيهات الجودة التي تم حلها حسب الفريق",,
"Objective","الهدف",,
"Observations","الملاحظات",,
"Observed defaults","الافتراضيات الملاحظة",,
"Obsolete","قديم",,
"On hold","قيد الانتظار",,
"Operation line","خط العملية",,
"Optional control point list","قائمة نقاط التحكم الاختيارية",,
"Optional control points","نقاط التحكم الاختيارية",,
"Optional quality control","مراقبة الجودة الاختيارية",,
"Optional quality process","عملية الجودة الاختيارية",,
"Origin","الأصل",,
"Partially accepted","مقبول جزئيًا",,
"Partner","الشريك",,
"Pause","إيقاف مؤقت",,
"Pictures","الصور",,
"Plan","الخطة",,
"Plan attrs","سمات الخطة",,
"Plan line","خط الخطة",,
"Plan owner","مالك الخطة",,
"Planned","مخطط",,
"Please complete all control points","يرجى إكمال جميع نقاط التحكم",,
"Please configure a sequence for action distribution.","يرجى تكوين تسلسل لتوزيع الإجراء.",,
"Please configure a sequence for decision distribution.","يرجى تكوين تسلسل لتوزيع القرار.",,
"Please configure information for quality for the company %s","يرجى تكوين معلومات الجودة للشركة %s",,
"Please fill printing settings on quality control","يرجى ملء إعدادات الطباعة في مراقبة الجودة",,
"Please provide one of the two fields, characteristicId or sampleId, in request body.","يرجى تقديم أحد الحقلين، characteristicId أو sampleId، في نص الطلب.",,
"Please select at least a line to generate a distribution.","يرجى تحديد سطر واحد على الأقل لإنشاء توزيع.",,
"Please select at least a line to send a distribution.","يرجى تحديد سطر واحد على الأقل لإرسال توزيع.",,
"Pre-fill control points","ملء نقاط التحكم مسبقًا",,
"Preventive","وقائي",,
"Preventive actions","الإجراءات الوقائية",,
"Print","طباعة",,
"Printing settings","إعدادات الطباعة",,
"Priority","الأولوية",,
"Process","العملية",,
"Processes","العمليات",,
"Product","المنتج",,
"Project","المشروع",,
"Propose action","اقتراح إجراء",,
"QI","تحسين الجودة",,
"QI Action distribution","توزيع إجراء تحسين الجودة",,
"QI Analysis Cause","سبب تحليل تحسين الجودة",,
"QI Analysis Causes","أسباب تحليل تحسين الجودة",,
"QI Decision Distribution","توزيع قرار تحسين الجودة",,
"QI Decision config company","تكوين قرار تحسين الجودة للشركة",,
"QI Decision distribution","توزيع قرار تحسين الجودة",,
"QI Resolution Decision","قرار حل تحسين الجودة",,
"QI Resolution Decisions","قرارات حل تحسين الجودة",,
"QI Resolution Default","الافتراضي لحل تحسين الجودة",,
"QI Resolution Defaults","الافتراضيات لحل تحسين الجودة",,
"QI Task","مهمة تحسين الجودة",,
"QI Tasks","مهام تحسين الجودة",,
"QIProcess.manager","مدير عملية تحسين الجودة",,
"Quality","الجودة",,
"Quality Control","مراقبة الجودة",,
"Quality Dashboard","لوحة تحكم الجودة",,
"Quality Improvement","تحسين الجودة",,
"Quality alert","تنبيه الجودة",,
"Quality alert filters","فلاتر تنبيهات الجودة",,
"Quality alerts","تنبيهات الجودة",,
"Quality config","تكوين الجودة",,
"Quality config (${ name })","تكوين الجودة (${ name })",,
"Quality configuration","تكوين الجودة",,
"Quality configurations","تكوينات الجودة",,
"Quality control","مراقبة الجودة",,
"Quality control calendar","تقويم مراقبة الجودة",,
"Quality control filters","فلاتر مراقبة الجودة",,
"Quality controls","ضوابط الجودة",,
"Quality improvement","تحسين الجودة",,
"Quality improvements","تحسينات الجودة",,
"Quality process","عملية الجودة",,
"Quality processes","عمليات الجودة",,
"Quality teams","فرق الجودة",,
"QualityControl.coefficient","معامل مراقبة الجودة",,
"QualityControl.correctiveActions","الإجراءات التصحيحية لمراقبة الجودة",,
"QualityControl.customerSignature","توقيع العميل لمراقبة الجودة",,
