"key","message","comment","context"
"%s : You must configure Sales module for company %s","%s : يجب عليك تكوين وحدة المبيعات للشركة %s",,,
"%s has been added to your cart.","%s تمت إضافته إلى سلة التسوق الخاصة بك.",,,
"+","+",,,
"A JavaScript boolean expression against the current form values.","تعبير منطقي بلغة JavaScript مقابل قيم النموذج الحالية.",,,
"A cancel reason must be selected","يجب تحديد سبب الإلغاء.",,,
"ABC analysis","تحليل ABC",,,
"ATI","ATI",,,
"AbcAnalysis.endDate","تاريخ نهاية تحليل ABC",,,
"AbcAnalysis.startDate","تاريخ بداية تحليل ABC",,,
"Accepted Credit","الرصيد المقبول",,,
"Access to parent sale order","الوصول إلى أمر البيع الأصلي",,,
"Accounted Revenue","الإيرادات المحتسبة",,,
"Accounting Family sale turnover (Excl. Tax) per month","دوران المبيعات حسب فئة المحاسبة (باستثناء الضريبة) شهريًا",,,
"Action","إجراء",,,
"Actions","الإجراءات",,,
"Activate","تفعيل",,,
"Activate past versions recovery","تفعيل استعادة الإصدارات السابقة",,,
"Actual version overwritten.","تم استبدال الإصدار الحالي.",,,
"Actual version saved, past version recovered.","تم حفظ الإصدار الحالي، واستعادة الإصدار السابق.",,,
"Add Line from Configurator","إضافة سطر من المكوّن",,,
"Add Pack","إضافة حزمة",,,
"Add a new element","إضافة عنصر جديد",,,
"Add a new sale order line","إضافة سطر أمر بيع جديد",,,
"Add a pack","إضافة حزمة",,,
"Add to cart","إضافة إلى السلة",,,
"Adv. payment amount","مبلغ الدفعة المقدمة",,,
"Advance Payment","دفعة مقدمة",,,
"Advance Payments","الدفعات المقدمة",,,
"Advance payment A.T.I. total","إجمالي الدفعة المقدمة ATI",,,
"Advance payment amount needed","المبلغ المطلوب للدفعة المقدمة",,,
"Advance payment needed","الدفعة المقدمة المطلوبة",,,
"Advance payment total","إجمالي الدفعة المقدمة",,,
"Advance payments","الدفعات المقدمة",,,
"All customer credit will be updated.","سيتم تحديث جميع أرصدة العملاء.",,,
"Allocate","تخصيص",,,
"Allocate all","تخصيص الكل",,,
"Allocated stock","المخزون المخصص",,,
"Allow pending order modification","السماح بتعديل الطلبات المعلقة",,,
"Allow the user to put products aside to generate an order at a later date.","السماح للمستخدم بوضع المنتجات جانبًا لإنشاء طلب لاحقًا.",,,
"Amount","المبلغ",,,
"Amount A.T.I.","المبلغ ATI",,,
"Amount Tax","مبلغ الضريبة",,,
"Amount Tax (via percentages)","مبلغ الضريبة (عن طريق النسب المئوية)",,,
"Amount invoiced W.T.","المبلغ المفوتر W.T.",,,
"Amount to be spread over the timetable","المبلغ الذي سيتم توزيعه على الجدول الزمني",,,
"An attribute with the same name already exists.","صفة بنفس الاسم موجودة بالفعل.",,,
"Analytic distribution","التوزيع التحليلي",,,
"Analytic distribution required on sale order line","التوزيع التحليلي مطلوب في سطر أمر البيع",,,
"App","التطبيق",,,
"App sale","بيع التطبيق",,,
"At least one sale order line has a stock move with availability request.","يحتوي سطر واحد على الأقل من أمر البيع على حركة مخزون مع طلب توفر.",,,
"Attributes","السمات",,,
"Authorizations","التفويضات",,,
"Authorized groups","المجموعات المصرح لها",,,
"Authorized users","المستخدمون المصرح لهم",,,
"Availability Request","طلب التوفر",,,
"Availability request","طلب التوفر",,,
"Available stock","المخزون المتاح",,,
"Average margin rate","متوسط معدل الهامش",,,
"Average margin rate per customer","متوسط معدل الهامش لكل عميل",,,
"Average markup","متوسط نسبة الربح",,,
"Average markup per customer","متوسط نسبة الربح لكل عميل",,,
"Average price","متوسط السعر",,,
"Back to confirmed order","العودة إلى الطلب المؤكد",,,
"Base W.T.","الأساس W.T.",,,
"Batchs","الدفعات",,,
"Bi-monthly","نصف شهري",,,
"Block order creation","حظر إنشاء الطلب",,,
"Blocked","محظور",,,
"Business Project","مشروع الأعمال",,,
"Business project","مشروع الأعمال",,,
"Calculated fields on configurator","الحقول المحسوبة في المكوّن",,,
"Can only cancel a drafted or finalized sale order.","يمكن فقط إلغاء أمر بيع في حالة مسودة أو نهائية.",,,
"Can only complete a confirmed sale order.","يمكن فقط إكمال أمر بيع مؤكد.",,,
"Can only confirm a finalized quotation.","يمكن فقط تأكيد عرض سعر نهائي.",,,
"Can only finalize a drafted quotation.","يمكن فقط إنهاء عرض سعر في حالة المسودة.",,,
"Cancel","إلغاء",,,
"Cancel Reason","سبب الإلغاء",,,
"Cancel Reasons","أسباب الإلغاء",,,
"Cancel reason","سبب الإلغاء",,,
"Cancel reservation","إلغاء الحجز",,,
"Canceled","تم الإلغاء",,,
"Cancellation","الإلغاء",,,
"Cancellation confirmation","تأكيد الإلغاء",,,
"Cart","سلة التسوق",,,
"Cart line","سطر السلة",,,
"Cart line list","قائمة أسطر السلة",,,
"Cart lines","أسطر السلة",,,
"Carts","السلال",,,
"Catalog","الكتالوج",,,
"Category","الفئة",,,
"Category sale turnover (Excl. Tax) per month","دوران مبيعات الفئة (باستثناء الضريبة) شهريًا",,,
"Change allocated qty","تغيير الكمية المخصصة",,,
"Change requested reserved qty","تغيير الكمية المحجوزة المطلوبة",,,
"Changes were made to the configurator creator. Please activate the configurator creator to use it.","تم إجراء تغييرات على منشئ المكوّن. يرجى تفعيله لاستخدامه.",,,
"Characteristics","الخصائص",,,
"Check Duplicate","التحقق من التكرار",,,
"Check the script","التحقق من البرنامج النصي",,,
"Children","الأطفال",,,
"Client box in sale order","مربع العميل في أمر البيع",,,
"Client is sale blocked:","العميل محظور من البيع:",,,
"Close opportunity when one of the linked sale orders is confirmed","إغلاق الفرصة عند تأكيد أحد أوامر البيع المرتبطة",,,
"Code","الرمز",,,
