"key","message","comment","context"
"${fullName} plan. st. move","${fullName} تحرك مخزون مخطط",,,
"${fullName} real st. move","${fullName} تحرك مخزون فعلي",,,
"%) on the WAP of","%) على متوسط السعر المرجح (WAP) لـ",,,
"%s Reverse stock move (From %s)","%s عكس تحرك المخزون (من %s)",,,
"<><Badge bg=""warning"">Warning : Delivery address is missing.</Badge></>","<><Badge bg=""warning"">تحذير: عنوان التسليم مفقود.</Badge></>",,,
"<B>%s or %s</B> not found","<B>%s أو %s</B> غير موجود",,,
"A cancel reason must be selected","يجب تحديد سبب الإلغاء",,,
"A partial stock move has been generated (%s)","تم إنشاء تحرك مخزون جزئي (%s)",,,
"ABC analysis","تحليل ABC",,,
"AbcAnalysis.stockLocation","موقع مخزون تحليل ABC",,,
"Account selection to carrier","اختيار الحساب لشركة النقل",,,
"Accounting family","عائلة المحاسبة",,,
"Accounting value","القيمة المحاسبية",,,
"Action","إجراء",,,
"Actions","الإجراءات",,,
"Activate bar code generation for stock location","تفعيل إنشاء الباركود لموقع المخزون",,,
"Activate bar code generation for tracking number","تفعيل إنشاء الباركود لرقم التتبع",,,
"Add","إضافة",,,
"Address","العنوان",,,
"Alert","تنبيه",,,
"All storable products used in DEB must have net mass and mass unit information for customs.","يجب أن تحتوي جميع المنتجات القابلة للتخزين المستخدمة في DEB على معلومات عن الكتلة الصافية ووحدة الكتلة للجمارك.",,,
"Allocate","تخصيص",,,
"Allocate all","تخصيص الكل",,,
"Allocations of costs","تخصيص التكاليف",,,
"Allows to add every product from the common stock location","يسمح بإضافة كل منتج من موقع المخزون المشترك",,,
"An error occurred while importing the file data, product not found with code :","حدث خطأ أثناء استيراد بيانات الملف، لم يتم العثور على المنتج بالكود:",,,
"An error occurred while importing the file data, there are multiple products with code :","حدث خطأ أثناء استيراد بيانات الملف، هناك عدة منتجات بنفس الكود:",,,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","حدث خطأ أثناء استيراد بيانات الملف. يرجى الاتصال بمسؤول التطبيق للتحقق من سجلات الأخطاء.",,,
"An incoming partial stock move has been generated (%s)","تم إنشاء تحرك مخزون جزئي وارد (%s)",,,
"An outgoing partial stock move has been generated (%s)","تم إنشاء تحرك مخزون جزئي صادر (%s)",,,
"App","التطبيق",,,
"App base","قاعدة التطبيق",,,
"App stock","مخزون التطبيق",,,
"Archived","مؤرشف",,,
"Are you sure you want to change status to  ""Collected "" ?","هل أنت متأكد أنك تريد تغيير الحالة إلى ""تم التجميع""؟",,,
"Are you sure you want to go back to provision ?","هل أنت متأكد أنك تريد العودة إلى التوريد؟",,,
"Are you sure you want to realize this stock move?","هل أنت متأكد أنك تريد تنفيذ تحرك المخزون هذا؟",,,
"Are you sure you want to validate the carrier?","هل أنت متأكد أنك تريد التحقق من شركة النقل؟",,,
"Arrival product qty","كمية المنتج الواردة",,,
"Arrivals","الواردات",,,
"Arrivals History","تاريخ الواردات",,,
"Auto product tracking Nbr. order","رقم الطلب لتتبع المنتج تلقائيًا",,,
"Auto sale tracking Nbr. order","رقم الطلب لتتبع البيع تلقائيًا",,,
"Auto select product tracking Nbr.","تحديد رقم تتبع المنتج تلقائيًا",,,
"Auto select sale tracking Nbr.","تحديد رقم تتبع البيع تلقائيًا",,,
