"key","message","comment","context"
"Accept","قبول",,,
"Accepted","مقبول",,,
"Actions","إجراءات",,,
"Available qty","الكمية المتاحة",,,
"Cancel","إلغاء",,,
"Canceled","ملغي",,,
"Comments","تعليقات",,,
"Estim. delivery date","التاريخ التقديري للتسليم",,,
"Generate all suppliers requests","إنشاء جميع طلبات الموردين",,,
"Generate suppliers purchase orders","إنشاء أوامر شراء الموردين",,,
"Initial purchase order","أمر الشراء الأولي",,,
"Manage supplier consultations","إدارة استشارات الموردين",,,
"Not accept","عدم القبول",,,
"Not accepted","غير مقبول",,,
"Ordered quantity","الكمية المطلوبة",,,
"Purchase order","أمر شراء",,,
"Purchase order Details","تفاصيل أمر الشراء",,,
"Request","طلب",,,
"Requested","تم الطلب",,,
"Show suppliers purchase orders","عرض أوامر شراء الموردين",,,
"State","الحالة",,,
"Submitted","تم الإرسال",,,
"Supplier","المورد",,,
"Supplier RFQ/PO","طلب عرض الأسعار/أمر الشراء للمورد",,,
"Supplier consultations","استشارات المورد",,,
"Supplier request","طلب المورد",,,
"Supplier's consulting's request created","تم إنشاء طلب استشارة المورد",,,
"Suppliers orders' generation over","اكتملت عملية إنشاء أوامر الموردين",,,
"Suppliers purchase","مشتريات الموردين",,,
"Suppliers requests","طلبات الموردين",,,
"Tools","أدوات",,,
"Unit price","سعر الوحدة",,,
"WARNING : To Date must be after or equals to From Date","تحذير: يجب أن يكون تاريخ الانتهاء بعد أو يساوي تاريخ البدء",,,
"Write to the supplier","مراسلة المورد",,,
"suppliers requests","طلبات الموردين",,,
