"key","message","comment","context"
"Add on catalog","إضافة إلى الكتالوج",,,
"All my invoices","جميع فواتيري",,,
"Allow supplier to create products","السماح للمورد بإنشاء المنتجات",,,
"App","تطبيق",,,
"App Supplier Portal","تطبيق بوابة المورد",,,
"App supplier portal","تطبيق بوابة المورد",,,
"Awaiting invoice","في انتظار الفاتورة",,,
"Awaiting invoices","في انتظار الفواتير",,,
"Catalog","الكتالوج",,,
"Code","الكود",,,
"Create new product","إنشاء منتج جديد",,,
"Deliveries to prepare","التسليمات التي يجب تحضيرها",,,
"Delivery","التسليم",,,
"Description","الوصف",,,
"Display product catalog","عرض كتالوج المنتج",,,
"Displaying module portal","عرض بوابة الوحدة",,,
"Due date","تاريخ الاستحقاق",,,
"Invoice","فاتورة",,,
"Invoice date","تاريخ الفاتورة",,,
"Invoice supplier","فاتورة المورد",,,
"Invoicing","الفوترة",,,
"Last delivery","آخر تسليم",,,
"Last order","آخر طلب",,,
"Manage delivery","إدارة التسليم",,,
"Manage invoices","إدارة الفواتير",,,
"Manage purchase orders","إدارة أوامر الشراء",,,
"My deliveries","تسليماتي",,,
"My invoices","فواتيري",,,
"My purchase orders","أوامر الشراء الخاصة بي",,,
"My space","مساحتي",,,
"Name","الاسم",,,
"Next delivery","التسليم التالي",,,
"None","لا شيء",,,
"Orders","الطلبات",,,
"Overdue invoices","الفواتير المتأخرة",,,
"Partner","الشريك",,,
"Picture","الصورة",,,
"Please download a PDF file for invoice.","يرجى تنزيل ملف PDF للفاتورة.",,,
"Product","المنتج",,,
"Product created","تم إنشاء المنتج",,,
"Product has no code.","المنتج ليس له كود.",,,
"Product has no name.","المنتج ليس له اسم.",,,
"Product supplier","مورد المنتج",,,
"Purchase currency","عملة الشراء",,,
"Purchase order","أمر الشراء",,,
"Purchase orders","أوامر الشراء",,,
"Purchase price W.T.","سعر الشراء بدون ضرائب",,,
"Purchase unit","وحدة الشراء",,,
"Quotation In Progress","عرض السعر قيد التنفيذ",,,
"Quotation in progress","عرض السعر قيد التنفيذ",,,
"Receipt date","تاريخ الاستلام",,,
"Stock move","حركة المخزون",,,
"Stock move information","معلومات حركة المخزون",,,
"Stock move line","خط حركة المخزون",,,
"Stock move lines","خطوط حركة المخزون",,,
"Stock move reference","مرجع حركة المخزون",,,
"Stock moves","حركات المخزون",,,
"The code is already in database. Please choose another one.","الكود موجود بالفعل في قاعدة البيانات. يرجى اختيار كود آخر.",,,
"Total remaining","الإجمالي المتبقي",,,
"value:Supplier Portal","القيمة: بوابة المورد",,,
