"key","message","comment","context"
"${fullName} plan. st. move","${fullName} تخطيط. تحرك المخزون",,,
"${product.fullName} plan. st. move","${product.fullName} تخطيط. تحرك المخزون",,,
"${product.fullName} real st. move","${product.fullName} تحرك المخزون الفعلي",,,
"${product.fullName} reserved","${product.fullName} محجوز",,,
"%d order invoiced successfully,","%d أمر مفوتر بنجاح،",,,
"%d orders invoiced successfully,","%d أوامر مفوترة بنجاح،",,,
"%d outgoing stock move processed successfully,","%d حركة مخزون صادرة تمت معالجتها بنجاح،",,,
"%d outgoing stock moves processed successfully,","%d حركات مخزون صادرة تمت معالجتها بنجاح،",,,
"%s : The advance payment generation failed. Please configure the bank details for the company %s and the associated payment mode %s either on the payment mode side or this Sale order %s record (hidden field).","%s : فشل إنشاء الدفع المقدم. يرجى تكوين تفاصيل البنك لشركة %s وطريقة الدفع المرتبطة %s إما على جانب طريقة الدفع أو في سجل أمر البيع %s (حقل مخفي).",,,
"%s blocked : maximal accepted credit exceeded for %s.","%s محظور: تم تجاوز الحد الأقصى للائتمان المقبول لـ %s.",,,
"%s please configure a virtual supplier stock location for the company %s","%s يرجى تكوين موقع مخزون افتراضي للمورد لشركة %s",,,
"%s purchase order","%s أمر شراء",,,
"%s requested reserved","%s طلب الحجز",,,
"%s sale order","%s أمر بيع",,,
"%s stock location","%s موقع المخزون",,,
"A list of all product categories for which to run the batch (children categories are automatically included). All products will be processed if this list is left empty (note that the batch may take a long time to run if you have a lot of products).","قائمة بجميع فئات المنتجات التي سيتم تشغيل الدُفعة لها (تتضمن الفئات الفرعية تلقائيًا). سيتم معالجة جميع المنتجات إذا تُركت هذه القائمة فارغة (يرجى ملاحظة أن تشغيل الدُفعة قد يستغرق وقتًا طويلاً إذا كان لديك العديد من المنتجات).",,,
"A list of sale order lines that will be processed. The lines that can be selected are the ones conforming to the following conditions :\nProduct is storable\nProduct is managed in stock\nProduct is not excluded from mrp\nSale order/quotation has the same stockLocation or a subLocation\nIf MPS, product must be a finished product\nDelivered quantity of the line must be lower than total quantity\nThe line must conform to one or several of the mrp move types","قائمة بخطوط أوامر البيع التي ستتم معالجتها. يمكن اختيار الخطوط التي تفي بالشروط التالية:\nالمنتج قابل للتخزين\nيتم إدارة المنتج في المخزون\nالمنتج غير مستبعد من تخطيط الموارد (MRP)\nأمر البيع/عرض السعر لديه نفس موقع المخزون أو موقع فرعي\nإذا كان تخطيط الإنتاج (MPS)، فيجب أن يكون المنتج منتجًا نهائيًا\nيجب أن تكون الكمية المسلمة أقل من الكمية الإجمالية\nيجب أن يتوافق الخط مع نوع أو أكثر من أنواع حركات تخطيط الإنتاج (MRP)",,,
"A supplier partner must be selected","يجب اختيار شريك المورد",,,
"Accepted Credit","الائتمان المقبول",,,
"Account configuration","تكوين الحساب",,,
"Accounting Batch","دفعة محاسبية",,,
"Accounting Family Dashboard","لوحة معلومات العائلة المحاسبية",,,
"Accounting Family sale turnover (Excl. Tax) per month","إجمالي مبيعات العائلة المحاسبية (باستثناء الضرائب) لكل شهر",,,
"Accounting cut off generation report :","تقرير إغلاق المحاسبة:",,,
"Action","إجراء",,,
